"","status","family","pval","qval","genes","num_cells_expressed"
"Ogt","OK","negbinomial.size",5.45634083142106e-06,5.79741959274494e-05,"Ogt",402
"Rnf43","OK","negbinomial.size",2.28908938952409e-05,0.000216579110132617,"Rnf43",58
"Lsm3","OK","negbinomial.size",0.00306751676204811,0.0169831086053339,"Lsm3",302
"Efcab14","OK","negbinomial.size",0.00895510739010162,0.0414617527180476,"Efcab14",293
"Kif4","OK","negbinomial.size",1.40091108216477e-10,2.75207018197229e-09,"Kif4",159
"Trim59","OK","negbinomial.size",2.17987480980545e-05,0.000207334699104572,"Trim59",140
"Brip1","OK","negbinomial.size",3.41936336305223e-08,5.03208993405073e-07,"Brip1",58
"Zbed4","OK","negbinomial.size",0.00381855846280401,0.0204499615001631,"Zbed4",98
"Smc4","OK","negbinomial.size",3.14159927324874e-11,6.73840986976414e-10,"Smc4",255
"Neurl1b","OK","negbinomial.size",1.07892568627005e-15,3.49804903733622e-14,"Neurl1b",11
"Dhrs11","OK","negbinomial.size",0.00138442119398019,0.00860962529510755,"Dhrs11",47
"Gulo","OK","negbinomial.size",5.91593633227e-05,0.000521032046247131,"Gulo",12
"Six4","OK","negbinomial.size",5.26656599279082e-09,8.73972767119446e-08,"Six4",55
"Edil3","OK","negbinomial.size",3.81123815067929e-07,4.85038703898761e-06,"Edil3",56
"Gjc1","OK","negbinomial.size",3.565627824834e-10,6.72192797112204e-09,"Gjc1",181
"Ice1","OK","negbinomial.size",0.00579494027856918,0.029222625667059,"Ice1",164
"Slc41a2","OK","negbinomial.size",6.19230091823114e-21,3.03880541559265e-19,"Slc41a2",33
"Ppm1h","OK","negbinomial.size",1.18171120589453e-10,2.33235394815992e-09,"Ppm1h",49
"Pik3ip1","OK","negbinomial.size",0.000216655517595661,0.00169612624948261,"Pik3ip1",97
"Ssh3","OK","negbinomial.size",1.9367233352397e-05,0.000185607558541361,"Ssh3",43
