"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1373","C2","C2","GO:0099175","regulation of postsynapse organization","14/1012","124/23174",0.00104868598389105,0.00821600926574552,0.0057283309999351,"12361/103967/14360/16180/192167/245537/18187/18189/18213/19122/19211/19242/19280/22418",14
"1393","C2","C2","GO:0062014","negative regulation of small molecule metabolic process","12/1012","99/23174",0.00126186543725122,0.00960003850018762,0.00669329797015574,"381290/81799/67800/50781/226144/16847/98496/19712/20613/20583/20848/394436",12
"1397","C3","C3","GO:0044242","cellular lipid catabolic process","36/1032","196/23174",3.83315984968763e-13,2.02467503260501e-09,1.63292609596693e-09,"11666/106861/52538/102632/11363/11364/11430/11652/11816/12801/74114/13167/93747/18606/66841/14466/66569/102238433/74182/14756/15107/97212/231086/15926/101490/56357/17939/19302/18783/211429/18797/18805/18806/18947/19156/20397",36
"1406","C3","C3","GO:0046879","hormone secretion","42/1032","363/23174",1.68017855222751e-08,8.8747031128657e-06,7.15756063248919e-06,"78894/268860/269275/11535/11539/11607/12015/12289/18555/12638/12801/13350/13447/13615/277978/14462/93692/14756/15107/15251/16535/93691/17069/228355/17202/18125/23957/18387/218461/18641/223775/75767/74998/52055/12394/214597/102607/20750/20907/319613/22320/26950",42
"1410","C3","C3","GO:0048608","reproductive structure development","47/1032","449/23174",5.52282528406982e-08,2.08368308217549e-05,1.68051683643839e-05,"11535/26362/12162/12505/12576/12577/12638/17684/50796/13615/13667/226090/214253/14183/14313/14388/14462/14463/15205/15251/50785/15486/17311/16669/16691/16842/107515/16867/16876/11614/26423/18783/56096/18799/11757/19156/12394/30953/20346/20708/20397/227631/20687/240725/99929/22187/22431",47
"1418","C3","C3","GO:0006732","coenzyme metabolic process","36/1032","326/23174",5.50368921328875e-07,0.000132138574657233,0.000106571436584591,"11666/52538/74340/11674/11676/227683/67914/74114/13350/209692/14149/14275/14571/268566/15251/15277/208715/15926/67834/16828/16832/107029/238505/18041/226518/74080/75735/236900/18641/54683/110391/19733/56857/21881/21991/269523",36
"1419","C3","C3","GO:0009746","response to hexose","25/1032","184/23174",6.94170518991862e-07,0.000159417768752827,0.000128572452648058,"78894/269275/12015/12289/12368/18555/12638/13667/78943/14756/14775/15251/93691/23957/18387/218461/236900/18641/223775/74998/52055/214597/56485/319613/26950",25
"1424","C3","C3","GO:1905941","positive regulation of gonad development","7/1032","14/23174",8.87215812212734e-07,0.000167366925718131,0.000134983548572366,"12638/17684/50796/26423/12394/20346/22431",7
"1427","C3","C3","GO:0048871","multicellular organismal homeostasis","46/1032","485/23174",1.28708735038374e-06,0.000219303076926674,0.000176870713310797,"268860/11304/11363/11433/11501/11539/54411/12389/22295/12638/56506/12801/13036/13615/54325/26383/23882/14466/14775/195733/230824/15107/15183/26557/15901/16190/19062/16373/104263/333050/107515/17202/67013/18559/18783/54683/13609/18174/20750/20807/20852/214531/12751/22095/22187/97064",46
"1428","C3","C3","GO:0016236","macroautophagy","25/1032","193/23174",1.69974022671084e-06,0.000280563371171458,0.000226277917680881,"68118/100504663/66615/29810/74374/17281/14466/15251/21821/16151/211134/18145/71648/18704/104009/244962/20773/67727/209815/68053/22320/269523/75909/74781/217695",25
"1432","C3","C3","GO:1904950","negative regulation of establishment of protein localization","26/1032","208/23174",2.09231653911178e-06,0.00030698933221079,0.000247590790461561,"269275/11816/29810/15502/15107/15183/19062/16535/93691/107515/226791/228355/65113/18007/18125/218461/18641/223775/18769/75767/52055/66214/243958/54198/110213/26950",26
"1435","C3","C3","GO:0016055","Wnt signaling pathway","41/1032","425/23174",3.15735759162834e-06,0.000427619558948228,0.000344880598470173,"11816/70495/26362/12156/12234/67488/12389/12505/109901/12388/330938/77938/14183/14275/14462/14463/230824/68259/22289/16842/107515/14160/18099/672511/207742/192199/20191/66072/219134/380702/54198/240725/21886/114606/665113/17847/84092/269523/22414/22420/97064",41
"1437","C3","C3","GO:0198738","cell-cell signaling by wnt","41/1032","427/23174",3.54797351693519e-06,0.00044306552151094,0.000357337963202689,"11816/70495/26362/12156/12234/67488/12389/12505/109901/12388/330938/77938/14183/14275/14462/14463/230824/68259/22289/16842/107515/14160/18099/672511/207742/192199/20191/66072/219134/380702/54198/240725/21886/114606/665113/17847/84092/269523/22414/22420/97064",41
"1438","C3","C3","GO:0062012","regulation of small molecule metabolic process","36/1032","353/23174",3.57345140570671e-06,0.00044306552151094,0.000357337963202689,"11666/11307/11363/11364/11652/11816/12015/12156/12389/12801/13167/13350/66148/244373/66294/14756/15251/19062/71597/16867/107029/18125/236900/19302/18783/18799/18984/19045/76487/19733/19885/212980/20845/12257/269523/140858",36
"1449","C3","C3","GO:0051346","negative regulation of hydrolase activity","38/1032","396/23174",8.10351877971824e-06,0.000807599739518335,0.000651339433992447,"11652/211673/54208/12505/12633/69362/69294/13010/13012/243312/16456/320415/14775/16150/16842/17756/223989/18125/15370/170721/245578/23980/18984/241289/74521/19733/80751/110651/68348/74069/20715/20708/20713/72281/20660/110213/225896/217695",38
"1452","C3","C3","GO:0061919","process utilizing autophagic mechanism","37/1032","383/23174",9.13213522182989e-06,0.000861356040030455,0.00069469457223206,"74159/68118/100504663/66615/29810/74374/69635/17281/14463/14466/15251/15277/21821/16151/211134/18145/71648/18704/12795/18760/66824/104009/244962/20773/67727/209815/110213/12257/68053/22320/269523/22333/75909/271564/83669/74781/217695",37
"1455","C3","C3","GO:0006979","response to oxidative stress","38/1032","401/23174",1.07970684920094e-05,0.000966612131776163,0.000779584945355255,"11666/67689/11816/26362/12368/12633/11438/231207/13010/13070/69635/66841/14388/14463/93692/14763/14775/15251/15507/15926/238505/226646/18779/18806/12795/11757/54683/18760/19156/54720/19733/18174/76650/20852/223255/22030/68015/246196",38
"1458","C3","C3","GO:0098911","regulation of ventricular cardiac muscle cell action potential","6/1032","14/23174",1.69635511509624e-05,0.00144518511579651,0.00116556012746936,"12389/216033/13506/13511/67451/20191",6
"1459","C3","C3","GO:0046496","nicotinamide nucleotide metabolic process","20/1032","154/23174",1.73637307544535e-05,0.00145579723563529,0.00117411893672971,"11674/11676/209692/14149/14571/15251/15277/15926/67834/16828/16832/107029/226518/74080/18641/54683/56857/21881/21991/269523",20
"1464","C3","C3","GO:0007030","Golgi organization","17/1032","121/23174",2.62375022761366e-05,0.00203803657386108,0.00164370234847561,"211673/109168/241633/102339/233824/13430/70297/71648/83679/12795/18760/228960/67727/71116/68053/75909/26951",17
"1477","C3","C3","GO:0097352","autophagosome maturation","8/1032","31/23174",4.75328300798333e-05,0.00309960998125531,0.00249987476716161,"100504663/74374/17281/244962/67727/209815/22320/269523",8
"1479","C3","C3","GO:0031669","cellular response to nutrient levels","22/1032","194/23174",5.67663220200546e-05,0.0036125266615654,0.00291354857596907,"27053/100504663/66615/12575/56506/74374/66148/13506/14275/14466/66809/18704/18760/20525/72027/20807/223255/21848/22278/74781/22414/217695",22
"1481","C3","C3","GO:0042135","neurotransmitter catabolic process","6/1032","17/23174",6.23013322835784e-05,0.0038714780837866,0.00312239618268287,"268860/214579/104776/17161/109731/18984",6
"1488","C3","C3","GO:0086091","regulation of heart rate by cardiac conduction","8/1032","33/23174",7.72890555487507e-05,0.00443739990661414,0.00357881931127911,"12289/12389/216033/13506/13511/16535/67451/72821",8
"1489","C3","C3","GO:0042176","regulation of protein catabolic process","34/1032","376/23174",7.88219262534465e-05,0.00447674639215811,0.00361055275096432,"11501/12306/11816/23806/66615/53325/12234/74374/77128/13010/72584/13636/72194/14466/14756/14775/114128/269473/105689/65113/18263/269608/12795/19186/19733/76867/279766/54198/20660/99929/22187/225896/84092/269523",34
"1490","C3","C3","GO:1905939","regulation of gonad development","7/1032","25/23174",8.07585426953053e-05,0.00449385004864429,0.00362434706687328,"12638/17684/50796/26423/12394/20346/22431",7
"1498","C3","C3","GO:0010035","response to inorganic substance","41/1032","493/23174",0.000100841170658288,0.00522199081781447,0.00421160183337555,"268860/56737/26362/12368/12389/12576/12633/66871/13070/93692/268566/14756/14763/14775/16510/16691/17748/17750/238505/18145/15370/18783/18799/18806/19045/11757/19156/19733/20191/69162/18174/230810/224008/20852/20866/223255/80976/22030/68015/269523/246196",41
"1499","C3","C3","GO:0001666","response to hypoxia","22/1032","202/23174",0.000103799040224731,0.00524869272041369,0.00423313725652449,"268860/52538/11501/11539/12015/12156/12389/11438/17684/231207/68655/15251/16508/236900/18806/12795/19309/66214/20191/18174/110213/22278",22
"1500","C3","C3","GO:0010876","lipid localization","33/1032","366/23174",0.000105438694784568,0.00524869272041369,0.00423313725652449,"11304/76184/11666/11307/269275/11607/11652/12306/11812/11816/241633/12266/12389/12638/74114/13350/26383/16867/432628/216749/18145/18559/18783/18779/11520/69060/19156/12394/20660/216892/20750/20845/12257",33
"1531","C3","C3","GO:0006907","pinocytosis","6/1032","21/23174",0.000234372566302459,0.00910261687654109,0.00734137597388585,"26362/12389/13430/94176/66824/69178",6
"1534","C3","C3","GO:0071850","mitotic cell cycle arrest","5/1032","14/23174",0.000247949339134012,0.00949027127475426,0.00765402416328155,"218294/12575/12576/50791/66214",5
"1538","C3","C3","GO:0050770","regulation of axonogenesis","21/1032","201/23174",0.000263130026622857,0.00973189952385291,0.00784890041113468,"11816/13131/330938/13430/12934/13636/17756/105689/17919/56177/18846/243743/11858/20346/20352/26456/20357/214968/76965/20807/22352",21
"1539","C3","C3","GO:0007409","axonogenesis","38/1032","466/23174",0.000264145741358918,0.00973189952385291,0.00784890041113468,"11816/56336/58208/12162/244682/13131/13175/330938/13430/12934/13518/13636/13654/14042/14183/14462/16568/93691/107515/17756/105689/17919/18007/80883/18222/56177/18846/243743/11858/20346/20352/26456/20357/214968/76965/20807/22330/22352",38
"1542","C4","C4","GO:0006979","response to oxidative stress","41/836","401/23174",2.29283804962425e-09,7.68091372152382e-06,5.97363582492858e-06,"17250/11668/16952/11808/12928/56458/108655/53618/14528/15368/16410/16476/26408/26415/227743/78771/56615/17876/18024/78688/53610/18104/114774/18584/228026/101476/18477/108079/18753/19164/53901/382985/269254/20617/20655/20656/21825/22068/56338/22228/22361",41
"1543","C4","C4","GO:0009636","response to toxic substance","37/836","343/23174",3.28151599525568e-09,7.68091372152382e-06,5.97363582492858e-06,"58810/17025/11668/16952/11808/11864/12799/12928/19106/13850/13860/108655/14528/14812/14863/15368/15446/16001/16439/26408/26415/18024/78688/18104/56312/114774/18584/101476/243725/18477/18753/269254/214084/22785/20655/20656/22068",37
"1544","C4","C4","GO:0010035","response to inorganic substance","46/836","493/23174",4.5521021660552e-09,7.68091372152382e-06,5.97363582492858e-06,"17025/16952/11750/11808/12010/70261/12928/56458/108655/14450/67092/14528/15216/15368/16410/320404/16476/16548/19141/26408/26415/59287/18024/78688/18104/18438/114774/18584/101476/18477/108079/18753/269254/78830/50799/22785/53945/20617/20655/20656/229521/54525/22042/21825/22068/22228",46
"1547","C4","C4","GO:0046394","carboxylic acid biosynthetic process","36/836","358/23174",3.34407906168933e-08,2.42558974766273e-05,1.88644090254707e-05,"26874/11370/94180/20216/58810/11668/16952/11808/109900/12035/12036/12398/170439/14450/67092/14528/14660/14751/268756/208727/16548/66447/68041/17319/210009/17869/56312/18778/18784/108079/108099/19215/64292/66194/235623/20250",36
"1548","C4","C4","GO:0016053","organic acid biosynthetic process","36/836","359/23174",3.59151513150437e-08,2.42558974766273e-05,1.88644090254707e-05,"26874/11370/94180/20216/58810/11668/16952/11808/109900/12035/12036/12398/170439/14450/67092/14528/14660/14751/268756/208727/16548/66447/68041/17319/210009/17869/56312/18778/18784/108079/108099/19215/64292/66194/235623/20250",36
"1549","C4","C4","GO:0015711","organic anion transport","39/836","410/23174",4.09599695864071e-08,2.42558974766273e-05,1.88644090254707e-05,"17250/16952/11806/11808/11981/12752/14077/14609/14812/100604/17319/17869/17920/18015/18126/79196/18778/18784/18753/19164/58887/19735/69309/54338/78830/50799/71803/73095/208890/26457/105727/215113/59033/224022/20540/50934/108116/20617/21825",39
"1551","C4","C4","GO:0048145","regulation of fibroblast proliferation","18/836","107/23174",5.07367347084291e-08,2.42558974766273e-05,1.88644090254707e-05,"12428/12571/13982/72007/14284/14319/14456/16476/17319/17869/18015/56312/671535/114774/18778/20656/21815/69807",18
"1552","C4","C4","GO:0046942","carboxylic acid transport","32/836","301/23174",5.319953521596e-08,2.42558974766273e-05,1.88644090254707e-05,"17250/16952/12752/14077/14812/100604/17319/17869/17920/18015/18126/18778/18784/18753/19164/58887/19735/69309/54338/78830/50799/71803/208890/26457/105727/215113/224022/20540/50934/108116/20617/21825",32
"1553","C4","C4","GO:0015849","organic acid transport","32/836","302/23174",5.75011398102584e-08,2.42558974766273e-05,1.88644090254707e-05,"17250/16952/12752/14077/14812/100604/17319/17869/17920/18015/18126/18778/18784/18753/19164/58887/19735/69309/54338/78830/50799/71803/208890/26457/105727/215113/224022/20540/50934/108116/20617/21825",32
"1564","C4","C4","GO:0016485","protein processing","26/836","239/23174",5.99320190515979e-07,0.000131902556712691,0.000102583867850332,"76976/213539/667277/68947/12752/12874/12876/13039/76884/230857/15451/16330/19141/66887/17869/59287/78688/114774/18553/64058/73078/19164/20394/20720/96935/21825",26
"1567","C4","C4","GO:0006732","coenzyme metabolic process","31/836","326/23174",1.0042521400485e-06,0.000195520166650981,0.000152060850355522,"26897/171210/20216/58810/107747/12398/71743/230027/14450/14528/14751/268756/208727/15360/16548/17449/17436/17319/210009/17869/192185/56312/228026/19193/106564/108079/108099/54338/20617/71707/22361",31
"1569","C4","C4","GO:0016032","viral process","28/836","279/23174",1.15220558198674e-06,0.00020830230914346,0.000162001837467309,"319278/56417/12121/69550/18983/13030/13138/19106/16865/223691/13858/14456/15451/16410/16476/16543/75339/17869/26424/671535/22038/17127/20846/22670/20128/69807/116733/78781",28
"1575","C4","C4","GO:0062012","regulation of small molecule metabolic process","32/836","353/23174",1.90672251621367e-06,0.000283877334619812,0.000220778396614215,"26874/11370/16952/11808/12398/230027/12894/13132/12495/13850/14077/27999/110196/56458/208727/16548/66887/17436/68041/17319/17869/18126/56312/228026/108079/108099/235623/20540/20617/20655/66826/69863",32
"1580","C4","C4","GO:0009896","positive regulation of catabolic process","35/836","418/23174",3.88610321891386e-06,0.000504396269080563,0.000392281404554327,"26874/11808/213539/12398/54638/12759/18983/12894/104318/13132/22350/242960/56458/14609/15368/54396/17319/17869/56312/71240/18715/18817/66853/108079/18753/19164/19246/320311/30945/105835/20617/20128/69807/230895/78781",35
"1598","C4","C4","GO:0097164","ammonium ion metabolic process","19/836","167/23174",1.00857203627635e-05,0.000895682745198402,0.000696594536597148,"58810/105387/11806/11808/11886/12660/12752/12894/14077/14528/18778/18784/18753/208449/74442/26457/77626/100340/20617",19
"1600","C4","C4","GO:0055072","iron ion homeostasis","13/836","86/23174",1.22000687363384e-05,0.00104672454141263,0.000814063462513931,"12010/242960/14151/14319/15216/15368/17869/71145/59049/53945/20655/20656/22042",13
"1605","C4","C4","GO:0001505","regulation of neurotransmitter levels","31/836","372/23174",1.50493331050581e-05,0.00119030819027819,0.000925732003501932,"320405/12614/12660/12752/12759/69219/13982/14450/14528/68133/78771/17920/72560/18015/18126/68404/18438/26875/243725/19063/19164/19735/116838/69906/17127/20617/20656/229521/54525/217203/22249",31
"1614","C4","C4","GO:0043433","negative regulation of DNA-binding transcription factor activity","18/836","160/23174",1.99879719270282e-05,0.00137803099511105,0.00107172865347903,"11746/109689/107392/54638/17470/80280/13982/14368/14456/208727/56198/15368/16001/23938/18035/56312/671535/15468",18
"1617","C4","C4","GO:0032387","negative regulation of intracellular transport","11/836","66/23174",2.21043100721569e-05,0.00144178957419375,0.00112131527116068,"228359/12568/70377/15368/16165/17755/16543/18015/78688/56715/108989",11
"1619","C4","C4","GO:1905039","carboxylic acid transmembrane transport","14/836","104/23174",2.22164335810178e-05,0.00144178957419375,0.00112131527116068,"17250/100604/17869/18753/19164/19735/54338/78830/50799/71803/105727/20540/50934/21825",14
"1639","C4","C4","GO:0044772","mitotic cell cycle phase transition","29/836","355/23174",4.03977282179954e-05,0.00207015372799525,0.00161000955368218,"16952/63955/12313/108058/12428/12442/12444/12448/12532/52004/80280/69274/70601/13685/13860/14199/16323/194655/14726/320595/18715/18817/15468/19357/19650/83560/21987/108989/116733",29
"1650","C4","C4","GO:0097755","positive regulation of blood vessel diameter","11/836","72/23174",5.11026074205665e-05,0.00236515051259216,0.00183943582047759,"71544/12168/240672/13983/14528/14609/18159/18438/19735/20655/20656",11
"1658","C4","C4","GO:0008585","female gonad development","14/836","113/23174",5.68208472406206e-05,0.00244193670293992,0.00189915433238273,"11705/109689/12167/12190/242523/13982/13983/26927/16322/16323/56312/101476/20655/22762",14
"1661","C4","C4","GO:0055119","relaxation of cardiac muscle","5/836","13/23174",6.10210161148036e-05,0.00257406986310947,0.0020019175462225,"11931/108058/18438/18578/19735",5
"1668","C4","C4","GO:0002262","myeloid cell homeostasis","18/836","176/23174",7.12809505918521e-05,0.00284113521177918,0.00220962084719044,"56417/16952/12010/12571/107371/14151/14751/15368/15526/16323/320404/50794/59287/18578/18477/230257/20655/20846",18
"1684","C4","C4","GO:0002683","negative regulation of immune system process","34/836","470/23174",0.00010528465005722,0.00372692936076676,0.00289852477890322,"56417/16952/11806/17470/12571/18983/12928/13709/22350/223752/15216/15368/15526/56213/16165/16362/320404/50794/17319/17869/18015/18024/18035/114774/18708/56715/20971/100340/96935/21354/21825/20128/27027/72828",34
"1688","C4","C4","GO:0042594","response to starvation","17/836","166/23174",0.0001103037396698,0.00379835054563623,0.00295407079387791,"320405/67579/19106/13685/56458/14456/15216/14828/16324/16476/26408/18024/108079/320311/170822/268933/319481",17
"1693","C4","C4","GO:0006457","protein folding","16/836","152/23174",0.000126064005638201,0.0041342587241484,0.00321531485959679,"12010/12330/12759/58233/70604/100037258/230866/14229/18415/14828/15526/243912/18159/209586/226551/108903",16
"1702","C4","C4","GO:0071826","ribonucleoprotein complex subunit organization","21/836","235/23174",0.000131833702256566,0.00414498261380582,0.00322365509277252,"56417/214150/12121/12696/12729/18983/66877/16865/57837/276919/69731/320806/66405/66164/78688/108079/269254/67465/20901/214575/54723",21
"1704","C4","C4","GO:0051098","regulation of binding","30/836","399/23174",0.00013484856933042,0.00418775127577047,0.00325691733481286,"268970/109689/12010/213539/12313/12568/12928/13132/67819/50505/23893/208727/15214/15216/15257/15368/16476/17869/18715/18817/22038/19164/17126/17127/58231/83560/54723/22034/72828/170822",30
"1713","C4","C4","GO:0010876","lipid localization","28/836","366/23174",0.000167150788008351,0.00491928656336206,0.00382585034976276,"17250/16952/11806/11808/11981/13132/14077/16323/16410/17319/18035/18126/79196/99031/18778/18784/66853/18753/58887/26457/108116/20652/54525/21763/21825/72759/69863/116733",28
"1719","C4","C4","GO:0140029","exocytic process","12/836","96/23174",0.00017398767829432,0.00494789678385309,0.00384810122306776,"320405/107371/26875/19164/19340/116838/20617/20911/54525/83671/22249/77573",12
"1722","C4","C4","GO:0006898","receptor-mediated endocytosis","20/836","223/23174",0.000179852778716053,0.00502991583348431,0.00391188945855213,"12778/109689/12010/12121/140723/12330/12752/12759/13132/13858/22350/15216/17920/19063/56715/71145/213326/20617/229521/22042",20
"1724","C4","C4","GO:0010811","positive regulation of cell-substrate adhesion","14/836","126/23174",0.00018557501342691,0.00513322796703288,0.0039922378499663,"11806/12571/12928/13132/13138/246707/16403/18003/83436/68750/20971/17127/64075/21825",14
"1755","C4","C4","GO:0010498","proteasomal protein catabolic process","32/836","456/23174",0.000286034268709728,0.00676591340284413,0.00526201753553558,"17025/109689/213539/12398/12759/104318/13132/67819/70377/70604/13803/242960/15216/14828/70382/236904/223455/18024/56312/71240/18786/18817/19164/26444/16912/19185/30945/74646/211949/72053/22214/30940",32
"1760","C4","C4","GO:0007015","actin filament organization","29/836","400/23174",0.000318533359781142,0.00735035190831643,0.00571654975921801,"11806/75415/73910/268970/68089/109689/102774/58804/13800/13860/22350/229474/54418/71584/16419/26401/320878/17868/17912/18003/98733/18481/114774/18708/243725/18753/20971/17127/104027",29
"1774","C4","C4","GO:0062013","positive regulation of small molecule metabolic process","15/836","151/23174",0.000381447891975008,0.00828707823681326,0.00644506490167847,"26874/16952/11808/12894/13132/110196/56458/68041/17319/17869/18126/56312/108079/20617/66826",15
