"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"236","C1","C1","GO:0071900","regulation of protein serine/threonine kinase activity","49/1236","425/23174",3.42186672101656e-07,7.78619673383853e-06,5.62120211128635e-06,"11789/66165/12159/12367/268697/12443/12447/12449/66671/12453/240665/12484/23834/13205/19252/63953/67603/18218/13614/13838/319955/14056/14062/14164/14165/14182/14366/71111/15234/15516/85305/16590/26399/17295/18226/18479/54635/18767/74055/21672/19087/15170/19876/20319/114715/24063/20460/20963/93840",49
"271","C1","C1","GO:0099173","postsynapse organization","28/1236","191/23174",1.15176835615723e-06,2.28228637363998e-05,1.64768415448712e-05,"11603/11838/239027/12323/53872/12404/12558/18163/56320/72162/112405/13838/13841/13845/104156/223254/14432/15387/16400/545156/16975/77579/56376/235072/231637/81907/22346/241514",28
"273","C1","C1","GO:0009314","response to radiation","45/1236","394/23174",1.32354959720884e-06,2.60119339235223e-05,1.87791733098761e-05,"68048/20877/12189/12367/12443/12530/12649/233805/13194/72162/76843/13605/13665/319955/14048/211651/60530/245650/15312/15902/85305/16590/14725/320974/17536/56428/56349/18148/98415/11545/52033/18971/59001/19046/58186/19361/623474/66704/72440/19822/19893/20319/77011/235559/209456",45
"370","C1","C1","GO:0140013","meiotic nuclear division","24/1236","174/23174",1.8681444313614e-05,0.000271133394497587,0.000195743270005804,"20878/237911/12235/12317/12323/12447/107995/12617/268465/105988/211651/67141/60530/67121/78658/215387/72787/30939/19361/70099/64707/21973/21974/235559",24
"395","C1","C1","GO:0099175","regulation of postsynapse organization","19/1236","124/23174",3.11667838522161e-05,0.000423710453889622,0.000305895442845335,"11838/239027/12323/53872/12404/12558/56320/72162/112405/13838/13841/14432/15387/545156/16975/56376/231637/22346/241514",19
"405","C1","C1","GO:0032922","circadian regulation of gene expression","13/1236","66/23174",3.85920401308442e-05,0.000511701865438601,0.000369420360758672,"27373/21410/59026/15902/77035/18432/59027/19017/19046/27374/66704/21969/11906",13
"408","C1","C1","GO:0051099","positive regulation of binding","26/1236","206/23174",4.12028159271068e-05,0.000542301768452362,0.000391511793239253,"11603/12159/67849/68588/12387/13665/55944/13806/13838/17300/15111/15258/219150/97165/15400/15516/16392/17295/18102/11545/18741/19384/20586/233744/16765/21849",26
"473","C1","C1","GO:0120031","plasma membrane bounded cell projection assembly","46/1236","486/23174",0.000124859998269996,0.00141754374357268,0.00102338794620762,"11603/108897/68743/11789/277939/207607/53883/12808/23790/20430/56320/75974/13836/214459/14432/234267/15519/81896/106633/320299/16590/16776/17427/77579/18536/70235/11758/216363/19353/108911/19684/19726/104215/19893/212892/235072/26941/71982/219140/20460/70415/67046/264134/209012/93840/74682",46
"479","C1","C1","GO:0007623","circadian rhythm","25/1236","209/23174",0.000137394112576218,0.00154030560445572,0.00111201519968841,"27373/13194/14056/21410/11991/59026/15902/15903/75605/77035/18432/59027/19017/19046/19091/27374/66645/66704/70118/20937/64707/230908/21969/21973/11906",25
"489","C1","C1","GO:1905314","semi-lunar valve development","8/1236","31/23174",0.000167899203032355,0.00184380106397494,0.00133112208539051,"12159/14464/15213/16449/19876/268902/20682/20897",8
