"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"12","C1","C1","GO:0044770","cell cycle phase transition","73/1236","393/23174",5.04426752396442e-21,2.25730971697408e-18,1.6296523939264e-18,"11504/11789/11792/59046/20877/11799/12189/12235/12237/78832/12323/268697/12443/12447/12449/12453/240665/52563/12530/12544/23834/67849/12567/229841/108000/12649/12704/54124/269582/52468/27214/233805/13194/13205/76843/226419/13559/52679/14056/67141/14165/14235/209334/15902/77035/381293/67121/105837/50927/67052/59126/18148/68501/55982/57913/18767/53317/18973/19192/15170/108911/19684/69581/235072/27401/50850/70385/21335/77011/235559/636931/68612/74335",73
"13","C1","C1","GO:0098813","nuclear chromosome segregation","57/1236","254/23174",1.00126465377884e-20,4.13599322368643e-18,2.98595766790887e-18,"11789/20877/56208/11799/237911/12235/12237/268697/12447/107995/52563/23834/67849/52276/12617/229841/108000/12704/12387/66934/13605/268465/105988/211651/67141/14156/209334/16319/381293/110033/71819/73804/51944/16211/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/30939/26934/19384/108911/24061/13006/70099/70385/21335/21973/21974/74335",57
"14","C1","C1","GO:0045787","positive regulation of cell cycle","67/1236","347/23174",2.47416897070934e-20,9.49020526622084e-18,6.85140174370114e-18,"11504/11792/20877/12125/56208/11799/12189/12317/12323/268697/12443/12447/12530/12544/23834/67849/12567/229841/12649/12704/27214/53817/13205/76843/226419/52679/108961/13605/13614/14056/67141/14156/14165/14182/209334/15289/15516/15902/16002/381293/240641/71819/16569/17536/17295/105837/18432/67052/18148/68501/18226/108907/57913/53317/70235/26934/19385/108911/19684/239336/64074/50850/20460/107829/68612/74335/22642",67
"15","C1","C1","GO:0006261","DNA-dependent DNA replication","39/1236","134/23174",8.79057124440739e-19,3.14702450549785e-16,2.27197711530894e-16,"12447/12544/23834/27214/52679/108961/268465/67141/14156/14182/209334/69270/67444/16881/70024/17216/17215/17217/17218/17219/17220/71567/212377/18148/98415/56452/18971/18973/19076/19361/19718/106344/68275/54380/24061/13006/66592/77011/218973",39
"16","C1","C1","GO:0072001","renal system development","59/1236","302/23174",2.62176075673575e-18,8.79928453979435e-16,6.35259530727484e-16,"11481/11504/19378/11789/71371/12125/12159/73230/108000/74107/12387/233651/13642/17075/13838/13841/14048/14164/14165/14182/14260/17300/15229/231470/14537/14734/15213/21410/15902/15903/106633/16400/16449/269152/16776/16869/83557/14013/114249/103468/59015/71805/18510/18654/74055/19126/98711/268902/58198/20474/55994/20682/24063/20897/76365/64930/243931/93840/13003",59
"17","C1","C1","GO:0051052","regulation of DNA metabolic process","73/1236","439/23174",3.37877747825023e-18,1.06729617989434e-15,7.70528634823257e-16,"11783/20877/12189/12301/12461/12462/12465/12466/12468/12469/12649/12387/27214/70640/53817/110052/72162/245474/13433/13435/19252/52679/108961/319955/50912/14048/67141/14165/14182/60344/60530/14235/57441/15234/219150/15289/53379/11991/15519/15516/15903/16009/67444/17295/72199/18148/98415/26430/11545/75317/55982/208084/19017/27374/19353/58186/19361/19718/106344/54380/24061/13006/64074/66592/20937/21454/21781/77011/74493/21974/21849/27223/94232",73
"18","C1","C1","GO:0001655","urogenital system development","63/1236","346/23174",7.36110699751074e-18,2.1960635875907e-15,1.58543608607205e-15,"11481/11504/19378/11789/71371/12125/12159/73230/108000/74107/12387/233651/13642/17075/13838/13841/13845/14048/14164/14165/14182/14228/14260/17300/15229/231470/14461/14537/14734/15201/15213/21410/15902/15903/106633/16400/16449/269152/16776/16869/83557/14013/114249/103468/59015/71805/18510/18654/74055/19126/98711/268902/58198/20474/55994/20682/24063/20897/76365/64930/243931/93840/13003",63
"19","C1","C1","GO:0060562","epithelial tube morphogenesis","64/1236","378/23174",1.68969338690433e-16,4.77560709877698e-14,3.44772340386075e-14,"19378/216285/11783/93760/12159/12160/277939/207607/330409/29876/12808/12977/68588/12387/233651/13614/13642/13836/13838/13841/104156/14048/14164/14165/14260/15229/57265/14734/15111/15213/15364/21410/15402/81896/30841/75605/16542/240641/269152/16776/16869/79464/14725/17242/17295/114249/18141/18479/18510/18654/18741/98711/19876/58198/99377/20319/20474/20666/20682/24063/20460/636931/64930/93840",64
"20","C1","C1","GO:1901990","regulation of mitotic cell cycle phase transition","51/1236","258/23174",3.17745531600499e-16,8.53146752347339e-14,6.1592462783402e-14,"11504/11789/11792/20877/11799/12189/12235/12237/268697/12443/12447/52563/12530/12544/23834/67849/12567/229841/108000/12649/269582/52468/27214/233805/13194/13205/76843/52679/14056/67141/14165/209334/15902/381293/105837/67052/59126/68501/57913/18767/53317/19192/15170/108911/19684/235072/70385/77011/235559/68612/74335",51
"21","C1","C1","GO:1901987","regulation of cell cycle phase transition","54/1236","289/23174",5.42039736668658e-16,1.38607304090985e-13,1.00066784468705e-13,"11504/11789/11792/20877/11799/12189/12235/12237/268697/12443/12447/52563/12530/12544/23834/67849/12567/229841/108000/12649/269582/52468/27214/233805/13194/13205/76843/226419/52679/14056/67141/14165/209334/15902/381293/105837/67052/59126/18148/68501/55982/57913/18767/53317/19192/15170/108911/19684/235072/70385/77011/235559/68612/74335",54
"22","C1","C1","GO:0001822","kidney development","53/1236","281/23174",6.7053385172207e-16,1.63671217443069e-13,1.18161539516382e-13,"11481/11504/11789/71371/12125/12159/73230/108000/12387/233651/13642/17075/13838/13841/14048/14164/14165/14182/14260/17300/15229/231470/14537/14734/15213/21410/15902/15903/16400/16449/269152/16776/16869/83557/114249/103468/59015/18510/18654/74055/19126/98711/268902/58198/20474/55994/20682/24063/20897/64930/243931/93840/13003",53
"23","C1","C1","GO:1902850","microtubule cytoskeleton organization involved in mitosis","35/1236","130/23174",7.79982512949396e-16,1.82108960632098e-13,1.31472567285704e-13,"223921/20878/20877/66165/11799/77744/268697/107995/12615/229841/71877/14048/14165/16551/71819/16563/16569/16211/244329/17865/67052/18226/108907/70235/26934/72080/24061/13006/50850/70385/24063/20460/16765/21335/72119",35
"24","C1","C1","GO:0006403","RNA localization","40/1236","169/23174",8.69912057057246e-16,1.94642822766559e-13,1.40521320444817e-13,"223921/24015/11838/12461/432508/70640/68278/53817/72162/245474/276770/50912/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/55989/18148/103468/59015/18226/71805/56698/107939/68879/19384/109095/110379/225027/21454/107829/64930/103573/72322",40
"25","C1","C1","GO:0071103","DNA conformation change","44/1236","210/23174",3.84077039701875e-15,8.24997481279628e-13,5.95602415672424e-13,"14312/268697/67849/27221/110749/104721/13368/72162/15201/320332/15364/15289/53379/17216/17217/17219/17220/71567/244329/23942/53605/50927/68298/78658/54392/76044/215387/18148/108907/70645/208084/59001/19361/19646/68275/56086/20586/54380/70099/20682/20937/21969/21973/21974",44
"26","C1","C1","GO:0007088","regulation of mitotic nuclear division","38/1236","162/23174",6.24089167516743e-15,1.28898416521727e-12,9.3057506233367e-13,"11789/20877/56208/11799/12159/77744/12235/12237/268697/52563/23834/67849/229841/12649/12704/13614/67141/14184/209334/16002/16551/240641/17295/17345/105837/67052/59126/68501/18226/108907/30939/19385/24061/13006/70385/21335/68612/74335",38
"27","C1","C1","GO:0051983","regulation of chromosome segregation","30/1236","102/23174",6.60637218242662e-15,1.31393402294929e-12,9.4858747555077e-13,"11789/20877/56208/11799/12235/12237/268697/52563/23834/67849/229841/12704/12387/13605/67141/14156/209334/73804/51944/17345/67052/59126/68501/30939/26934/58186/108911/70385/21335/74335",30
"28","C1","C1","GO:0051054","positive regulation of DNA metabolic process","47/1236","244/23174",1.3019836004723e-14,2.49701854804866e-12,1.80270887238326e-12,"20877/12189/12301/12461/12462/12465/12466/12468/12469/12387/27214/53817/72162/245474/13433/52679/108961/319955/14048/14165/14182/14235/15234/219150/53379/11991/15519/15516/16009/17295/72199/18148/26430/11545/55982/19017/19353/19361/19718/106344/64074/66592/21454/74493/21974/21849/27223",47
"29","C1","C1","GO:0033044","regulation of chromosome organization","58/1236","354/23174",1.99696865540131e-14,3.69783506189829e-12,2.66963178143123e-12,"11789/20877/56208/11799/12189/12235/12237/268697/12461/12462/12465/12466/12468/12469/52563/12544/23834/67849/229841/12649/12704/12387/70640/72162/245474/13433/13626/50912/67141/14156/14461/209334/219150/53379/11991/16002/16392/16468/17216/244329/17345/67052/59126/68501/11545/55982/208084/30939/19822/70385/20937/21335/21454/74493/21973/21849/218973/74335",58
"30","C1","C1","GO:0051783","regulation of nuclear division","41/1236","194/23174",2.44477076628981e-14,4.37613967165875e-12,3.1593300814896e-12,"11789/20877/56208/11799/12159/77744/12235/12237/12317/12323/268697/107995/52563/23834/67849/229841/12649/12704/13614/67141/14184/209334/16002/16551/240641/17295/17345/105837/67052/59126/68501/18226/108907/30939/19385/24061/13006/70385/21335/68612/74335",41
"31","C1","C1","GO:0048568","embryonic organ development","70/1236","490/23174",4.88398534255696e-14,8.46032299662287e-12,6.10788387661708e-12,"19378/216285/93760/12159/12160/12166/277939/207607/320790/12808/12824/241324/68588/12387/52679/108961/13614/112405/192170/13836/14048/14165/14180/14182/17300/57265/14461/15111/15213/15258/21410/15399/15400/15402/15404/15430/15902/15903/81896/106633/16002/30841/16542/16590/16869/15531/18510/54635/18741/106522/19353/98711/72780/12393/58198/212712/20474/20541/26941/20586/20666/20682/20460/20897/76365/107829/21849/93840/226841/243905",70
"32","C1","C1","GO:0045931","positive regulation of mitotic cell cycle","37/1236","166/23174",7.83387666707578e-14,1.31462242819365e-11,9.49084465948688e-12,"11504/11792/56208/11799/268697/12443/12447/12530/12544/67849/12567/229841/27214/13205/76843/13614/67141/14165/14182/209334/15289/16002/240641/17536/17295/105837/67052/68501/18226/108907/53317/19385/108911/19684/64074/68612/74335",37
"33","C1","C1","GO:0070507","regulation of microtubule cytoskeleton organization","40/1236","197/23174",2.02895718394248e-13,3.30166669023368e-11,2.38362019408618e-11,"11603/11789/77744/12449/12649/80986/76686/12387/13640/14228/230101/209334/15505/74187/16551/212307/244329/17295/18148/18226/18479/18571/208177/70235/19353/19385/19822/66468/66140/219114/24061/13006/20460/16765/20257/21335/72119/22153/103573/74335",40
"34","C1","C1","GO:2000027","regulation of animal organ morphogenesis","41/1236","208/23174",2.86608162476517e-13,4.52672303676146e-11,3.2680429176502e-11,"230959/140577/11789/12159/12166/12977/68588/12387/13614/104156/14048/14164/14165/14182/17300/114142/57265/14464/14734/15111/15234/15364/21410/16392/16449/16869/17242/17295/18510/19353/19876/268902/12393/58198/72080/20319/20474/20682/24063/21834/93840",41
"35","C1","C1","GO:0007051","spindle organization","36/1236","165/23174",3.36904555868147e-13,5.16907847146271e-11,3.73178790755604e-11,"223921/20878/20877/66165/11799/77744/268697/107995/229841/71877/105988/67141/66296/71909/16551/71819/16563/16569/51944/16211/212307/17865/67052/18226/70235/26934/19385/19822/24061/13006/50850/20460/16765/21335/72119/22154",36
"36","C1","C1","GO:0007409","axonogenesis","66/1236","466/23174",3.93672177203117e-13,5.87227664327983e-11,4.23945797847684e-11,"110532/11603/11658/11789/56386/12558/12561/53870/12808/77018/12904/12933/20430/56320/70433/13640/13642/13690/13723/13836/13838/13841/13845/14184/399558/71436/15229/14432/14587/15399/15519/15516/16392/545156/16869/110648/14725/77579/17967/18039/18040/18479/235611/18992/235472/19283/19353/19876/268902/20347/20358/235072/245450/20616/229285/16765/23964/21974/360213/107449/22253/210801/93840/225348/212168/67263",66
"37","C1","C1","GO:0050673","epithelial cell proliferation","62/1236","424/23174",4.94840570688474e-13,7.1818753097219e-11,5.18491556712844e-11,"19378/11789/11846/11946/11799/12159/12160/73230/12166/12173/12443/12560/12387/13052/13386/63953/13601/13642/13836/14048/14164/14165/14180/14182/14184/114142/14461/14734/15117/15213/15234/15364/15289/97165/15312/21410/15402/15902/81896/16002/16009/16392/75605/16542/16590/259277/328949/17242/17345/18102/18148/68371/18654/19876/20319/20474/20666/20682/76365/18140/226841/22346",62
"38","C1","C1","GO:0001657","ureteric bud development","28/1236","104/23174",6.00078446833719e-13,8.05050297451640e-11,5.81201655496303e-11,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
