"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"311","C1","C1","GO:0006470","protein dephosphorylation","31/1236","235/23174",3.13818235466512e-06,5.41866213651179e-05,3.91197346834714e-05,"59046/12530/108912/52468/19252/63953/56405/67603/18218/56205/14048/15516/67444/67121/52065/19046/21770/26932/19205/19249/19250/15170/19273/19283/227059/231637/68991/64930/13003/54401/22627",31
"312","C1","C1","GO:0021537","telencephalon development","32/1236","248/23174",3.52858760477444e-06,6.07324212744831e-05,4.38454390971129e-05,"12159/12558/320790/12387/71877/13845/14182/15387/15902/140486/16485/30841/381293/16869/110648/16975/244329/17242/77579/13865/18992/19353/19823/19876/268902/58198/21335/81907/64930/209012/22627/67263",32
"313","C1","C1","GO:0006282","regulation of DNA repair","20/1236","117/23174",3.59121771217634e-06,6.16129045188082e-05,4.44810991556935e-05,"12189/12649/110052/319955/14048/14165/60344/60530/14235/15289/72199/26430/11545/75317/19361/20937/21974/21849/27223/94232",20
"314","C1","C1","GO:0090130","tissue migration","35/1236","284/23174",3.61115867042518e-06,6.17577135674624e-05,4.45856432557021e-05,"109254/27494/68743/11946/12159/73230/12317/23790/13482/63953/13642/13836/14164/14165/14182/14461/15117/15200/15289/16002/16400/16480/16542/16590/212307/328949/17295/56218/55982/68371/19876/64074/20682/114715/22346",35
"315","C1","C1","GO:0007018","microtubule-based movement","34/1236","273/23174",3.92243370784027e-06,6.68681555908008e-05,4.82750989005036e-05,"207607/53883/229841/54160/13427/81896/106633/16551/381293/209737/19348/240641/16565/110033/71819/16563/73804/16569/16570/16211/16709/17918/18039/18040/18536/19726/19893/212892/50850/81907/360213/264134/209012/74682",34
"316","C1","C1","GO:0032508","DNA duplex unwinding","10/1236","32/23174",3.94189317948839e-06,6.69872353602931e-05,4.83610678882602e-05,"104721/17216/17217/17219/17220/71567/208084/19361/68275/21973",10
"317","C1","C1","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","11/1236","39/23174",3.99650004417406e-06,6.77009628934217e-05,4.88763395739434e-05,"11504/11792/12443/12447/12544/27214/13205/14165/105837/53317/19684",11
"318","C1","C1","GO:1902806","regulation of cell cycle G1/S phase transition","21/1236","128/23174",4.06981189315309e-06,6.87260687617361e-05,4.96164091442662e-05,"11504/11792/12443/12447/12544/52468/27214/233805/13205/52679/14056/14165/15902/381293/105837/57913/53317/19192/15170/19684/235072",21
"319","C1","C1","GO:0045860","positive regulation of protein kinase activity","47/1236","437/23174",4.12203161253397e-06,6.9389685765854e-05,5.00955038078291e-05,"11481/11603/12159/78832/12443/12484/23834/229841/269582/12977/13205/13605/13614/13838/319955/14056/14062/14164/14165/14182/14366/71111/15234/15519/15516/15505/85305/381293/16590/16975/240354/26399/17295/76044/59126/18148/18479/54635/74055/21672/19876/20460/70415/20963/68652/72119/93840",47
"320","C1","C1","GO:0042326","negative regulation of phosphorylation","48/1236","451/23174",4.35805607080178e-06,7.31336284381424e-05,5.27984227261939e-05,"110532/232339/11789/11910/12159/12367/208650/268697/23790/52468/19252/63953/67603/18218/13669/14235/14783/15234/15505/16009/170643/14013/17295/171580/64144/56428/18148/18226/52033/68371/18546/18767/19017/21770/19087/72446/19249/15170/20358/20319/26941/237782/56468/114715/24063/230908/28084/22375",48
"321","C1","C1","GO:1903046","meiotic cell cycle process","27/1236","193/23174",4.40578366805132e-06,7.37042314561856e-05,5.32103664516577e-05,"20878/237911/12235/12317/12323/12447/107995/12530/12617/268465/105988/211651/67141/60530/67121/68298/78658/215387/72787/28114/30939/19361/70099/64707/21973/21974/235559",27
"322","C1","C1","GO:0060541","respiratory system development","32/1236","251/23174",4.56105392006139e-06,7.60647812134461e-05,5.49145524275452e-05,"11481/19378/12159/12166/207607/320790/12387/14048/14164/14165/14180/14182/14184/114142/14734/15364/15289/15402/16400/16542/16776/18741/106522/98711/20474/20666/20682/24063/20897/21834/243931/93840",32
"323","C1","C1","GO:0030178","negative regulation of Wnt signaling pathway","23/1236","150/23174",4.7150807479317e-06,7.83900421560161e-05,5.65932618368337e-05,"140577/11789/12558/27373/68588/319478/70433/14180/27041/14734/14783/15364/16392/29806/328949/17242/77583/19273/20319/26941/20682/76365/666048",23
"324","C1","C1","GO:0031023","microtubule organizing center organization","21/1236","130/23174",5.23735433934466e-06,8.68042987724716e-05,6.26678883424509e-05,"20878/12189/277939/12449/12649/12387/209334/66296/71909/16551/244329/18148/18226/18536/18571/70235/19385/72776/20460/103573/74335",21
"325","C1","C1","GO:0007076","mitotic chromosome condensation","7/1236","15/23174",5.32081531634031e-06,8.76465590452376e-05,6.32759535359424e-05,"67849/68298/78658/54392/215387/108907/70099",7
"326","C1","C1","GO:0072283","metanephric renal vesicle morphogenesis","7/1236","15/23174",5.32081531634031e-06,8.76465590452376e-05,6.32759535359424e-05,"12159/12387/14260/269152/16869/18510/58198",7
"327","C1","C1","GO:0048566","embryonic digestive tract development","10/1236","33/23174",5.38611776772524e-06,8.84509248094329e-05,6.38566609964013e-05,"19378/14165/14180/21410/15902/18741/106522/58198/20666/20897",10
"328","C1","C1","GO:0060070","canonical Wnt signaling pathway","34/1236","277/23174",5.40709513479491e-06,8.8524697786124e-05,6.39099209930991e-05,"140577/11789/77578/12558/12560/27373/68588/12387/18163/76441/13205/70433/14165/14180/14184/57265/14366/27041/14734/16392/29806/110648/328949/17242/77583/19273/68031/72780/20319/26941/20682/81004/76365/74493",34
"329","C1","C1","GO:1902808","positive regulation of cell cycle G1/S phase transition","12/1236","48/23174",5.85315632197551e-06,9.55363205137036e-05,6.89719236404921e-05,"11504/11792/12443/12447/12544/27214/13205/14056/14165/105837/53317/19684",12
"330","C1","C1","GO:0055007","cardiac muscle cell differentiation","22/1236","142/23174",6.34839159101674e-06,0.000103305644981091,7.45809449113705e-05,"244810/11464/93760/12159/12301/13052/53817/13614/13642/17295/109272/77579/74103/18479/56376/18741/64082/19091/19736/20541/20679/64930",22
"331","C1","C1","GO:0046822","regulation of nucleocytoplasmic transport","19/1236","112/23174",7.00640656205734e-06,0.000113668891958453,8.20626343395045e-05,"12159/432508/66233/217378/13605/70572/16480/18226/68051/18767/19250/19384/19387/230908/107829/21849/103573/72322/22627",19
"332","C1","C1","GO:0010463","mesenchymal cell proliferation","13/1236","57/23174",7.22127750322564e-06,0.000116741762360988,8.42810763060902e-05,"12159/12166/12387/233651/14180/14182/114142/14734/15111/15289/16542/20682/76365",13
"333","C1","C1","GO:0022407","regulation of cell-cell adhesion","43/1236","394/23174",7.25069790170463e-06,0.000116741762360988,8.42810763060902e-05,"208936/109254/11846/12159/12367/208650/12484/12522/53883/13482/63953/13640/13642/17075/13841/13845/223601/14538/15117/15519/15510/15505/16002/16186/16449/269152/16579/240354/17242/108797/94212/18530/21672/19091/15170/19273/19684/56468/54607/20963/76365/269023/328365",43
"334","C1","C1","GO:0051402","neuron apoptotic process","35/1236","293/23174",7.26103326416574e-06,0.000116741762360988,8.42810763060902e-05,"110532/11603/211064/11783/12125/11799/12367/12704/12387/70433/13841/14062/14184/15258/15516/15510/15505/16392/30841/16542/381293/17242/17865/18039/18008/18148/11545/18546/19017/21672/19283/56086/20474/21834/107449",35
"335","C1","C1","GO:0048592","eye morphogenesis","25/1236","176/23174",7.49504668415233e-06,0.000120144479683278,8.67376494508501e-05,"93760/12159/12387/13836/14107/270120/14184/15258/15312/81896/16449/30841/16542/16869/17268/18741/19126/19893/237979/20666/20682/20897/21834/269831/22346",25
"336","C1","C1","GO:0001649","osteoblast differentiation","27/1236","199/23174",7.86692959421426e-06,0.000125730392621817,9.07703687202102e-05,"11481/11789/12159/12166/68588/12387/13386/13836/67141/14180/14182/60530/15111/15213/15399/15902/15903/16002/16009/16449/29806/114249/12393/212712/20319/268396/20666",27
"337","C1","C1","GO:0048588","developmental cell growth","32/1236","258/23174",8.13743385456931e-06,0.000129667714537202,9.3612896724594e-05,"20878/12561/12808/12904/12387/20430/56320/53817/70433/13614/13640/13690/13841/71436/15387/15519/15516/18479/56376/19091/19736/116837/217340/20347/20358/235072/20682/229285/20983/81907/360213/225348",32
"338","C1","C1","GO:0033674","positive regulation of kinase activity","49/1236","475/23174",8.20348379561289e-06,0.000130333455569353,9.40935248185683e-05,"11481/11603/12159/78832/12443/12484/23834/229841/269582/12977/13205/13605/13614/13838/319955/14056/14062/14164/14165/14182/14184/14366/71111/15234/15519/15516/15505/85305/381293/16590/16975/240354/26399/17295/76044/59126/18148/18479/54635/74055/21672/19353/19876/20460/70415/20963/68652/72119/93840",49
"339","C1","C1","GO:0034249","negative regulation of cellular amide metabolic process","23/1236","155/23174",8.25291745863388e-06,0.000130732055318183,9.43812917253488e-05,"12317/53872/72068/231464/13205/72162/13665/192170/74203/107508/260302/14786/11991/140486/16201/64602/83557/75593/17975/20425/233744/636931/64930",23
"340","C1","C1","GO:0030278","regulation of ossification","30/1236","235/23174",8.72240248790018e-06,0.000137762651058894,9.94569918357163e-05,"11481/11789/67972/12159/12166/12977/68588/12387/13386/13601/67141/14182/14184/15111/15213/15399/15902/15903/16449/29806/17242/114249/106522/12393/20319/20541/20666/20682/20937/21834",30
"341","C1","C1","GO:2000826","regulation of heart morphogenesis","11/1236","42/23174",8.80698100008879e-06,0.000138690580558583,0.000100126905458642,"12159/12387/14048/17300/14464/15111/16392/16449/19876/268902/20682",11
"342","C1","C1","GO:0034332","adherens junction organization","20/1236","124/23174",8.92219629389336e-06,0.00014009413479008,0.000101140193753183,"320873/320865/12558/12560/12561/12563/12564/23790/12387/109620/13640/14260/16542/77569/212307/208177/19353/108911/19684/64930",20
"343","C1","C1","GO:0006271","DNA strand elongation involved in DNA replication","7/1236","16/23174",9.0228073028891e-06,0.000141260860689547,0.000101982505129785,"14156/69270/16881/17215/17217/17220/18973",7
"344","C1","C1","GO:0060419","heart growth","19/1236","114/23174",9.13430021917733e-06,0.000142590674933088,0.000102942557243666,"11789/12166/268697/12387/13052/53817/67603/13614/14164/14180/14182/17300/16468/17268/17967/18479/56376/19091/19736",19
"345","C1","C1","GO:0008038","neuron recognition","12/1236","50/23174",9.2390299427167e-06,0.000143748175877176,0.000103778208714229,"12367/53870/13723/13838/13845/14432/17967/235472/19283/19876/268902/22631",12
"346","C1","C1","GO:0001759","organ induction","9/1236","28/23174",9.31552424678903e-06,0.000143748175877176,0.000103778208714229,"12159/12387/14164/14165/14182/14464/19876/268902/24063",9
"347","C1","C1","GO:0034508","centromere complex assembly","9/1236","28/23174",9.31552424678903e-06,0.000143748175877176,0.000103778208714229,"12615/12617/229841/26886/15201/50927/70645/59001/19822",9
"348","C1","C1","GO:0070198","protein localization to chromosome, telomeric region","9/1236","28/23174",9.31552424678903e-06,0.000143748175877176,0.000103778208714229,"12461/12462/12465/12466/12468/12469/245474/21454/74493",9
"349","C1","C1","GO:0050770","regulation of axonogenesis","27/1236","201/23174",9.48382120657358e-06,0.000145925844926361,0.000105350364963989,"11603/12558/12561/12904/20430/56320/70433/13640/13690/13838/13841/13845/18039/18040/18479/235611/18992/19876/268902/20347/20358/20616/229285/360213/225348/212168/67263",27
"350","C1","C1","GO:0051973","positive regulation of telomerase activity","10/1236","35/23174",9.68883004592948e-06,0.000148654335276118,0.000107320183636566,"20877/12461/12387/245474/219150/53379/11991/15519/15516/21454",10
"351","C1","C1","GO:0048844","artery morphogenesis","15/1236","76/23174",9.7386887571835e-06,0.000148993614319303,0.000107565124284621,"12159/12166/320790/12387/13642/14048/17300/15111/15213/16449/14725/17242/20586/20897/328365",15
"352","C1","C1","GO:0055017","cardiac muscle tissue growth","18/1236","105/23174",1.04369405296768e-05,0.000158609496832554,0.000114507258028873,"11789/12166/268697/12387/13052/53817/13614/14164/14180/14182/17300/16468/17268/17967/18479/56376/19091/19736",18
"353","C1","C1","GO:0060602","branch elongation of an epithelium","8/1236","22/23174",1.04558215789058e-05,0.000158609496832554,0.000114507258028873,"12159/14164/14165/21410/98711/20474/20682/24063",8
"354","C1","C1","GO:0072273","metanephric nephron morphogenesis","8/1236","22/23174",1.04558215789058e-05,0.000158609496832554,0.000114507258028873,"12159/12387/14260/269152/16869/18510/58198/20682",8
"355","C1","C1","GO:0017148","negative regulation of translation","21/1236","136/23174",1.07848448821111e-05,0.000162681508474541,0.000117447024544101,"12317/53872/72068/231464/13205/72162/13665/192170/74203/107508/14786/11991/140486/16201/64602/83557/75593/17975/20425/636931/64930",21
"356","C1","C1","GO:0035270","endocrine system development","21/1236","136/23174",1.07848448821111e-05,0.000162681508474541,0.000117447024544101,"71371/12159/12160/12166/14165/14461/15364/21410/15400/15402/16392/17242/18510/18576/18741/18992/19726/20682/20897/21834/22346",21
"357","C1","C1","GO:0060411","cardiac septum morphogenesis","16/1236","86/23174",1.09776629205273e-05,0.000165126190149108,0.000119211949097161,"12159/12160/12166/320790/112405/57265/15213/15902/16392/16449/14725/18741/19876/268902/20666/93840",16
"358","C1","C1","GO:0051293","establishment of spindle localization","11/1236","43/23174",1.12669947722136e-05,0.000169004921583203,0.000122012178024294,"66165/12615/14048/14165/16211/244329/67052/108907/72080/70385/24063",11
"359","C1","C1","GO:0072132","mesenchyme morphogenesis","12/1236","51/23174",1.14992981635292e-05,0.000172009000384824,0.000124180956271157,"12160/12166/12387/233651/14182/17300/14464/15213/16392/19876/268902/20682",12
"360","C1","C1","GO:0042476","odontogenesis","19/1236","116/23174",1.18263800932226e-05,0.000176410169723903,0.000127358356384031,"11481/11789/12125/12159/12166/94220/12977/12387/13614/14165/17300/15111/15903/16776/17918/18741/12393/71982/67255",19
"361","C1","C1","GO:0031110","regulation of microtubule polymerization or depolymerization","16/1236","87/23174",1.27929405376239e-05,0.000190299420185707,0.000137385624726837,"11789/80986/76686/14228/230101/74187/212307/17295/18479/19353/66468/66140/219114/16765/20257/22153",16
"362","C1","C1","GO:0044344","cellular response to fibroblast growth factor stimulus","16/1236","88/23174",1.48704906631247e-05,0.000220592637737514,0.000159255647316919,"12387/14164/14165/14176/14180/14182/14184/399558/71436/15531/12393/20419/64074/20662/24063/636931",16
"363","C1","C1","GO:0022616","DNA strand elongation","8/1236","23/23174",1.52833196197304e-05,0.000226092083630722,0.000163225942176213,"14156/69270/16881/17215/17217/17220/98415/18973",8
"364","C1","C1","GO:1901214","regulation of neuron death","40/1236","368/23174",1.64177764431413e-05,0.000242207306317772,0.00017486023898233,"11603/211064/12125/11799/12367/12977/12387/70433/13642/112405/13665/13841/14062/14184/15258/15516/15510/15505/16392/30841/16542/381293/17242/17865/18039/18008/18148/11545/18546/19017/21672/19179/19283/56086/20474/20618/231637/209456/64930/107449",40
"365","C1","C1","GO:0016358","dendrite development","34/1236","292/23174",1.68128239464324e-05,0.000247355793403677,0.000178577161051797,"11838/12160/12323/53872/107995/53883/12704/12808/18163/20430/56320/72162/13690/13838/13845/14056/223254/270120/14260/216963/15387/93842/545156/16975/50772/17295/18479/56376/19091/19283/19353/93686/19876/235072",34
"366","C1","C1","GO:0006606","protein import into nucleus","22/1236","151/23174",1.72898247849168e-05,0.000253678576762304,0.000183141859887399,"12159/110750/66233/13605/14180/76582/230673/70572/226432/16480/16211/103468/18141/18226/71805/68051/18767/107939/19384/20963/230908/21849",22
"367","C1","C1","GO:0000132","establishment of mitotic spindle orientation","9/1236","30/23174",1.75177526673395e-05,0.000255625901694601,0.000184547720462847,"66165/12615/14048/14165/244329/67052/72080/70385/24063",9
"368","C1","C1","GO:1902751","positive regulation of cell cycle G2/M phase transition","9/1236","30/23174",1.75177526673395e-05,0.000255625901694601,0.000184547720462847,"268697/12443/12530/12567/76843/226419/67141/18148/108911",9
"369","C1","C1","GO:0035136","forelimb morphogenesis","11/1236","45/23174",1.80232147906392e-05,0.000262289060774343,0.000189358151687132,"19378/12904/12387/14260/15405/15430/81896/14013/98711/12393/58198",11
"370","C1","C1","GO:0140013","meiotic nuclear division","24/1236","174/23174",1.8681444313614e-05,0.000271133394497587,0.000195743270005804,"20878/237911/12235/12317/12323/12447/107995/12617/268465/105988/211651/67141/60530/67121/78658/215387/72787/30939/19361/70099/64707/21973/21974/235559",24
"371","C1","C1","GO:0071774","response to fibroblast growth factor","16/1236","90/23174",1.99447376621146e-05,0.00028868798179395,0.000208416708212706,"12387/14164/14165/14176/14180/14182/14184/399558/71436/15531/12393/20419/64074/20662/24063/636931",16
"372","C1","C1","GO:0010810","regulation of cell-substrate adhesion","27/1236","210/23174",2.11974299485321e-05,0.000305995158128004,0.000220911529429665,"230959/12317/23790/12977/56320/13612/13640/14115/14260/14366/14538/15117/15404/16400/16449/16480/16542/77569/17242/56349/114249/208177/19283/19353/108911/64074/64930",27
"373","C1","C1","GO:0033002","muscle cell proliferation","29/1236","234/23174",2.15583618196986e-05,0.00031037105354365,0.000224070683171863,"11504/11789/12159/12166/268697/12387/13052/53817/13433/13614/14164/14180/14182/17300/15200/15902/16009/16468/545156/17268/78689/59027/17967/18479/19017/19091/19737/27401/20841",29
"374","C1","C1","GO:0001889","liver development","19/1236","121/23174",2.1921951849946e-05,0.000313922350491227,0.000226634522563793,"20878/12159/207607/12443/12808/52679/108961/14056/14235/15234/21410/16004/16468/17242/17295/17345/18746/20586/20682",19
"375","C1","C1","GO:0046546","development of primary male sexual characteristics","19/1236","121/23174",2.1921951849946e-05,0.000313922350491227,0.000226634522563793,"94246/71371/12125/237911/12443/14180/15364/97165/15395/15405/16542/218454/14725/56218/73296/140498/20319/20474/20682",19
"376","C1","C1","GO:0071772","response to BMP","24/1236","176/23174",2.26403314967321e-05,0.000322489602486608,0.000232819603245747,"11481/12159/12160/73230/12166/12824/241324/15229/14464/14734/15258/16400/56543/16542/14725/12393/20319/55994/20666/229285/14479/211739/72693/66995",24
"377","C1","C1","GO:0071773","cellular response to BMP stimulus","24/1236","176/23174",2.26403314967321e-05,0.000322489602486608,0.000232819603245747,"11481/12159/12160/73230/12166/12824/241324/15229/14464/14734/15258/16400/56543/16542/14725/12393/20319/55994/20666/229285/14479/211739/72693/66995",24
"378","C1","C1","GO:0051321","meiotic cell cycle","35/1236","309/23174",2.29674744167571e-05,0.000326283961952342,0.000235558920292164,"20878/237911/12235/12237/12317/12323/12447/107995/12530/12617/268465/105988/26909/211651/67141/60530/15364/67121/17345/17427/68298/78658/215387/72787/28114/30939/19361/68275/24061/13006/70099/64707/21973/21974/235559",35
"379","C1","C1","GO:0048011","neurotrophin TRK receptor signaling pathway","9/1236","31/23174",2.35199199898616e-05,0.000333250581386693,0.000240588433058354,"19716/12367/20430/76829/21770/20661/20662/24063/81907",9
"380","C1","C1","GO:0072594","establishment of protein localization to organelle","40/1236","374/23174",2.38684767750925e-05,0.00033729926390065,0.000243511357237302,"12159/54377/12461/12462/12465/12466/12468/12469/110750/245474/66233/13605/14180/15519/15510/15505/81896/76582/230673/70572/226432/16480/16211/14725/71735/56428/103468/18141/18226/71805/68051/18767/107939/19384/20963/230908/21454/21849/28084/22631",40
"381","C1","C1","GO:0010001","glial cell differentiation","29/1236","236/23174",2.53088537062817e-05,0.000356715339639719,0.000257528686835849,"11496/56386/12159/12558/12387/76441/63953/224045/13838/14165/14176/14184/14432/15364/15902/83557/17242/225908/236539/18992/27374/19283/26563/20586/20666/20679/20682/103743/70747",29
"382","C1","C1","GO:0001837","epithelial to mesenchymal transition","20/1236","133/23174",2.57785456136266e-05,0.000362384266872186,0.0002616213378203,"216285/12159/241324/12387/14056/17300/14538/15117/15213/15384/16392/16449/243574/17242/68371/208177/20319/20682/21849/93840",20
"383","C1","C1","GO:0051170","import into nucleus","22/1236","155/23174",2.61985808914118e-05,0.00036712399527021,0.000265043158792548,"12159/110750/66233/13605/14180/76582/230673/70572/226432/16480/16211/103468/18141/18226/71805/68051/18767/107939/19384/20963/230908/21849",22
"384","C1","C1","GO:0006333","chromatin assembly or disassembly","21/1236","144/23174",2.6252442119881e-05,0.00036712399527021,0.000265043158792548,"93760/22385/14312/27221/110749/15201/320332/15289/17216/53605/50927/18148/70645/59001/19646/56086/20586/57376/20682/114741/64707",21
"385","C1","C1","GO:0051145","smooth muscle cell differentiation","14/1236","73/23174",2.69289703937002e-05,0.000375606677958883,0.000271167185126446,"12159/12387/13433/14165/14180/15213/16590/114249/18741/20586/20682/76365/243931/93840",14
"386","C1","C1","GO:0031076","embryonic camera-type eye development","10/1236","39/23174",2.76091123979867e-05,0.000383103187537955,0.000276579249182062,"19378/93760/14165/15258/106633/30841/18741/98711/20666/20897",10
"387","C1","C1","GO:1901998","toxin transport","10/1236","39/23174",2.76091123979867e-05,0.000383103187537955,0.000276579249182062,"93760/12461/12462/12465/12466/12468/12469/50797/56447/21454",10
"388","C1","C1","GO:0003197","endocardial cushion development","11/1236","47/23174",2.80353074376863e-05,0.000387016968998395,0.000279404782283855,"12159/12160/12166/233651/14464/15213/16392/16449/19876/268902/20682",11
"389","C1","C1","GO:0090102","cochlea development","11/1236","47/23174",2.80353074376863e-05,0.000387016968998395,0.000279404782283855,"330409/68588/233651/14048/14184/57265/17216/19353/20682/76365/93840",11
"390","C1","C1","GO:0006268","DNA unwinding involved in DNA replication","6/1236","13/23174",2.82136255279802e-05,0.00038847992073142,0.00028046095227949,"17216/17217/17219/17220/19361/68275",6
"391","C1","C1","GO:0048705","skeletal system morphogenesis","31/1236","262/23174",2.85409263711398e-05,0.000391981520749414,0.000282988913245142,"11481/216285/71371/12159/12824/12387/192170/14048/14184/14260/17300/15117/15399/15400/15402/15404/15426/15430/106633/16869/15531/23850/70235/98711/12393/212712/20319/268396/20474/20666/20682",31
"392","C1","C1","GO:0008406","gonad development","27/1236","214/23174",2.97545507780406e-05,0.000407606983872648,0.000294269630815047,"11504/94246/71371/12125/12159/237911/12443/224045/14180/17300/14366/15364/97165/15387/15395/15405/16542/16590/14725/103468/56218/98711/73296/140498/20319/20474/20682",27
"393","C1","C1","GO:0045778","positive regulation of ossification","17/1236","103/23174",3.03333832681392e-05,0.000414479053816558,0.000299230884094165,"11481/67972/12159/12166/68588/12387/67141/14184/15213/16449/114249/106522/12393/20319/20541/20666/21834",17
"394","C1","C1","GO:0061008","hepaticobiliary system development","19/1236","124/23174",3.11667838522161e-05,0.000423710453889622,0.000305895442845335,"20878/12159/207607/12443/12808/52679/108961/14056/14235/15234/21410/16004/16468/17242/17295/17345/18746/20586/20682",19
"395","C1","C1","GO:0099175","regulation of postsynapse organization","19/1236","124/23174",3.11667838522161e-05,0.000423710453889622,0.000305895442845335,"11838/239027/12323/53872/12404/12558/56320/72162/112405/13838/13841/14432/15387/545156/16975/56376/231637/22346/241514",19
"396","C1","C1","GO:0035019","somatic stem cell population maintenance","12/1236","56/23174",3.16006882934411e-05,0.000428524485191361,0.000309370906392195,"11789/77578/14165/14184/14461/15364/21410/16590/18510/58198/20682/93840",12
"397","C1","C1","GO:0035265","organ growth","27/1236","215/23174",3.23325925392534e-05,0.000436410067204618,0.000315063859161934,"11481/232339/11789/12125/12166/268697/12387/13052/53817/67603/13601/13614/14164/14165/14180/14182/17300/16468/16542/17268/17967/18479/56376/70235/19091/19736/20682",27
"398","C1","C1","GO:0048863","stem cell differentiation","28/1236","227/23174",3.23447312378841e-05,0.000436410067204618,0.000315063859161934,"19378/216285/12159/12166/23790/72162/13614/17075/17300/234267/15111/21410/15404/16392/16449/16468/243574/16590/16776/83557/18741/98711/12393/20347/20358/20666/20679/20682",28
"399","C1","C1","GO:1903706","regulation of hemopoiesis","42/1236","406/23174",3.32424745579311e-05,0.000447398717734561,0.00032299705526147,"11789/320940/12159/12484/12522/12977/12387/72162/14000/63953/211651/14184/17300/14461/320332/15289/97165/15354/15402/15404/15405/15519/15902/16186/16449/16542/240354/17242/17268/17536/76044/18102/21672/15170/93686/67588/56468/20662/20963/107829/269023/328365",42
"400","C1","C1","GO:0072189","ureter development","7/1236","19/23174",3.44985976282596e-05,0.00046259478964629,0.000333967776196665,"19378/12159/16869/14013/20682/76365/243931",7
"401","C1","C1","GO:0051653","spindle localization","11/1236","48/23174",3.46300010126273e-05,0.00046259478964629,0.000333967776196665,"66165/12615/14048/14165/16211/244329/67052/108907/72080/70385/24063",11
"402","C1","C1","GO:0051972","regulation of telomerase activity","11/1236","48/23174",3.46300010126273e-05,0.00046259478964629,0.000333967776196665,"20877/12461/12387/245474/219150/53379/11991/15519/15516/208084/21454",11
"403","C1","C1","GO:0045747","positive regulation of Notch signaling pathway","10/1236","40/23174",3.50628797643102e-05,0.000467215047976044,0.00033730334640709,"53870/14048/14165/14464/16449/16590/224143/19876/268902/328365",10
"404","C1","C1","GO:0043523","regulation of neuron apoptotic process","31/1236","265/23174",3.55960493311839e-05,0.000473145507199152,0.000341584808980589,"11603/211064/12125/11799/12367/12387/70433/13841/14062/14184/15258/15516/15510/15505/16392/30841/16542/381293/17242/17865/18039/18008/18148/11545/18546/19017/21672/19283/56086/20474/107449",31
"405","C1","C1","GO:0032922","circadian regulation of gene expression","13/1236","66/23174",3.85920401308442e-05,0.000511701865438601,0.000369420360758672,"27373/21410/59026/15902/77035/18432/59027/19017/19046/27374/66704/21969/11906",13
"406","C1","C1","GO:0014812","muscle cell migration","17/1236","105/23174",3.91286444119037e-05,0.000516267372216027,0.000372716403385598,"11504/11792/12166/14180/15117/16009/545156/17242/17295/17918/56349/18479/18791/19017/19091/20474/231637",17
"407","C1","C1","GO:0055006","cardiac cell development","17/1236","105/23174",3.91286444119037e-05,0.000516267372216027,0.000372716403385598,"11464/12159/13052/53817/13614/16449/17295/109272/77579/74103/18479/56376/18741/64082/19091/19736/20541",17
"408","C1","C1","GO:0051099","positive regulation of binding","26/1236","206/23174",4.12028159271068e-05,0.000542301768452362,0.000391511793239253,"11603/12159/67849/68588/12387/13665/55944/13806/13838/17300/15111/15258/219150/97165/15400/15516/16392/17295/18102/11545/18741/19384/20586/233744/16765/21849",26
"409","C1","C1","GO:0045785","positive regulation of cell adhesion","42/1236","410/23174",4.17424412894004e-05,0.000548060903970856,0.000395669569602012,"11789/12317/12484/12522/12977/56320/13482/63953/13612/13642/223601/14115/14260/14538/15117/15519/15510/15505/15891/16002/16186/16400/16480/16542/269152/16579/240354/17242/108797/56349/114249/15170/19273/19353/64074/56468/20908/20963/76365/64930/11906/328365",42
"410","C1","C1","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","24/1236","183/23174",4.31685774427526e-05,0.000565403075286784,0.000408189655254577,"12317/12323/53872/12561/12904/20430/56320/72162/13640/13690/13838/15117/545156/16975/17242/17295/18039/56349/18479/235611/19353/19876/268902/20616",24
"411","C1","C1","GO:0051098","regulation of binding","41/1236","399/23174",4.77982004622146e-05,0.000624516633776381,0.000450866365225602,"11603/20878/20877/12159/208650/67849/12933/27373/68588/12387/13665/55944/192170/13806/13838/17300/15111/15213/15258/219150/97165/15387/15400/15516/15902/15903/16392/17295/18102/98415/11545/18741/19384/12395/20586/20666/233744/16765/20610/21849/242466",41
"412","C1","C1","GO:0048839","inner ear development","26/1236","208/23174",4.86287482424375e-05,0.000633826160344392,0.000457587326972145,"12159/73230/330409/320790/12824/68588/233651/14048/14165/14180/14182/14184/57265/14461/15213/16449/17216/171166/18510/19353/26563/20474/26941/20682/76365/93840",26
"413","C1","C1","GO:0034250","positive regulation of cellular amide metabolic process","20/1236","139/23174",4.92433402426555e-05,0.000640282656423875,0.000462248558974641,"12367/12567/12785/27373/53817/13205/72162/224045/55944/192170/13690/276770/13838/11991/83557/239555/18148/19205/100503670/67843",20
"414","C1","C1","GO:0043405","regulation of MAP kinase activity","33/1236","295/23174",4.98243196381543e-05,0.000646271972118089,0.000466572512655282,"12159/12484/19252/63953/67603/18218/13614/13838/319955/14056/14062/14164/14165/14182/14366/71111/15234/85305/16590/26399/17295/18226/18479/54635/74055/21672/15170/19876/20319/114715/24063/20963/93840",33
