	Top	p.value	FDR	logFC.2	logFC.3	logFC.4	logFC.5
Aurkb	1	6.6586365293815e-75	1.58362352578282e-70	-7.37163348746989	-6.72799344278974	-1.95039440707189	-6.91128801152809
Tk1	1	6.41442400544287e-64	3.81385615303623e-60	-4.92754578116824	-7.74065112846769	-3.53749564918697	-4.63516272478573
Myh11	1	4.95086470978904e-49	9.8122012827427e-46	4.42159319409116	4.30812919188871	4.4523571874051	1.04131495610462
Cdca8	1	2.22335011226212e-46	3.525195714662e-43	-6.84273524406495	-4.88595091616654	-2.43821401649457	-7.12791470271152
Ccna2	2	1.16841256912409e-68	1.38941780657393e-64	-7.30797562717896	-6.96768519428654	-2.46589325539015	-7.12692720839657
Rrm2	2	1.48873865795832e-56	5.05809592888897e-53	-5.52120320375744	-7.94685698699535	-3.19173143336724	-5.42878090899579
Cks1b	2	3.83636250452745e-39	2.40105814329412e-36	-6.67921179963203	-5.92137180544953	-4.37146346065968	-6.21459246147227
Pirb	2	1.83893780552265e-34	6.15992363785147e-32	5.25803750523071	5.18195597944541	5.87631058664443	0.0704964374472336
Pimreg	3	7.41004852233185e-68	5.87443946688721e-64	-7.30454209124205	-5.91099761451465	-0.874660675194747	-7.01798852550674
Pclaf	3	8.96517654145094e-51	2.13218793685327e-47	-5.60087983909796	-7.56997892341564	-2.36631043047157	-5.16956926737242
Mad2l1	3	8.03150822385722e-38	3.97944500183323e-35	-6.00372170021546	-6.09932248643374	-3.32216521449435	-6.46878414689396
ENSMUSG00000107470	3	7.68702940846045e-27	1.18714688585334e-24	-3.0778608410848	-3.08407352689439	-3.19298420857486	-0.796379502998651
Prc1	4	4.11167899981751e-63	1.95576123305319e-59	-6.94827654002419	-5.74981017515619	-0.404395805404949	-6.95816904356425
Top2a	4	4.1570028091014e-56	1.23582497261073e-52	-7.22644635322177	-7.23911700290483	-2.25311281041885	-7.42979666514575
Shmt2	4	3.89936768583265e-31	9.00375356040364e-29	-5.63440715179461	-5.40378974296174	-5.11044633674626	-3.92138115110352
Hmgb2	4	3.00878838641315e-30	6.27701878895297e-28	-3.10798713554938	-2.88575628360935	-0.969891404942087	-3.51353253929318
Ube2c	5	6.8120015180372e-62	2.70016386839135e-58	-7.78503121538462	-3.9288110777241	-2.09918359906324	-6.83877360934103
Cdca3	5	7.64571672538817e-45	9.57042530946883e-42	-6.60106031029368	-5.81104059503644	-2.60012062480173	-7.02224431155434
Cd53	5	2.98976584123387e-29	5.8764959505839e-27	5.87950789733668	5.91205786969514	5.64414615390941	0.223241070396315
Lig1	6	2.44110663355017e-44	2.9028419532862e-41	-4.25968989725932	-7.05250563923747	-3.92069791083792	-2.83457820459681
Bub1b	6	7.38333645343549e-35	2.66057410412208e-32	-5.68450696745373	-4.28428091106693	-1.28726732901144	-6.50394217482203
Mcm2	6	7.20054310213832e-27	1.11928442221017e-24	-4.69099513857379	-6.30909662359051	-6.09788011665131	-4.01380769199365
Cdc20	7	6.83618209777866e-56	1.80649909812745e-52	-7.36615984310014	-4.20082464220825	-2.36667189089979	-6.88869311361677
Mcm5	7	5.41626773267715e-44	5.85523161301187e-41	-5.88473424054925	-7.66428586761523	-6.29150870821775	-5.17734464844251
Tpx2	7	5.7873651729126e-44	5.98438721336432e-41	-6.48225762392819	-4.97589088554031	-1.09221871065291	-6.94964900827115
Rpn1	7	3.4158179826721e-22	3.24953596327563e-20	-3.92660624630419	-3.91881248691097	-3.84237705465537	-1.57122569554196
Tacc3	8	2.85605152321662e-49	6.17504303424192e-46	-6.56195006125594	-5.63734471738031	-1.11311541453916	-6.5590081442364
Birc5	8	8.4515095891684e-46	1.25626407849496e-42	-7.07792348098276	-6.33999754131039	-3.03556160565302	-6.77178249882602
Spc24	8	1.36037679736461e-43	1.34807672382177e-40	-5.78329875151032	-6.35038769303615	-2.77718812995745	-5.33963355374292
Phgdh	8	6.50736613016889e-24	7.26594782506137e-22	-4.19538364253889	-4.2535044731032	-3.95534187819895	-3.08545640411121
Tyms	9	2.90250217132606e-43	2.76120836562589e-40	-5.51787281393632	-7.12439992066848	-3.65517791732525	-4.64861566005084
Kif11	9	4.28404794469505e-39	2.54718780671707e-36	-6.20029282458594	-5.34279636829377	-0.357443606376151	-7.42017984967845
Rps2	9	5.35110785713764e-20	4.07901917199695e-18	-0.647040447705451	-0.617445445743055	-0.861904286465345	0.464597637380437
Slc7a5	10	2.50787336702655e-48	4.58805786830713e-45	-6.09584375483914	-5.26740294454746	-3.47980494978186	-3.29251252900639
Pbk	10	2.836298818357e-41	2.10799046240578e-38	-6.67248453559549	-7.76893695599438	-2.90295245507405	-5.6576998411237
Mcm6	10	2.48161962734132e-30	5.26967496402307e-28	-4.60715246070912	-6.19374602314949	-5.67973978589129	-3.31273347560668
Mki67	10	2.02553977910447e-27	3.46571313427639e-25	-4.92902058647786	-4.93005310584348	-1.09061195104373	-5.62552238601777
Aurka	11	1.36621435889795e-47	2.32090543554786e-44	-6.86153108161153	-4.04518566535699	-1.42778635718914	-6.95587330253452
Ckap2l	11	1.1211221808752e-42	9.87542549176115e-40	-5.96630364098214	-3.8456368557854	-0.119177710594495	-6.65685110848993
Nup85	11	5.60693887151991e-41	3.92205374062816e-38	-5.6654852690744	-6.53922999721183	-3.32048730218124	-3.31817786061703
Srm	11	7.92266734922645e-26	1.10838116215678e-23	-5.21906779296808	-4.11325468716613	-4.49028510326178	-0.300763545664403
Rfc5	12	1.81590469625963e-40	1.23393318260408e-37	-5.70044310881353	-6.73506829225001	-3.34112237954962	-5.04846250187813
Spns2	12	1.01543075289509e-33	3.24907377562924e-31	-5.66025647881666	-5.36535912591577	-5.35109080862174	-1.47131974972496
Ccnb2	12	1.50619715117053e-30	3.28641163727419e-28	-6.15378788143177	-3.61708509349971	-3.54192644769551	-6.33254513021947
ENSMUSG00000046057	13	3.16824770162684e-40	2.03649824561597e-37	-3.82322073553024	-5.61149577309289	-1.35286076589783	-3.55249450094675
ENSMUSG00000082896	13	3.205354517024e-25	4.16573478023944e-23	-1.86637389622887	-2.00469809385081	-1.94615668340896	-1.00458009659607
Cenph	13	2.08291516066085e-19	1.47874541092529e-17	-3.22528671452375	-3.9661432059017	-2.03309988829009	-4.15876938650324
Ncapd2	14	1.43687691893071e-45	2.01019080958406e-42	-6.10412131077216	-6.13631155731173	-3.12979876604145	-5.934324653832
Asf1b	14	4.00538881345091e-39	2.44256826026417e-36	-5.63766819113088	-6.94265423710327	-3.27865103921825	-5.28310084243816
Hsp90aa1	14	1.26461133197043e-31	3.06900523553596e-29	-1.68226944935045	-1.77164457534243	-1.74538794965832	-0.635605871355948
Anln	14	3.33784334504491e-30	6.9029502848003e-28	-5.41311384660435	-4.51204296589791	-0.196502779619506	-6.53684501899789
Smc2	15	3.4048771396387e-45	4.49878850066819e-42	-6.05439556742887	-6.12949400812527	-1.82859185557735	-6.41420455797351
Atad2	15	3.12427322283079e-38	1.61531717518663e-35	-3.8498869750581	-6.14396852204931	-2.61995512579184	-3.9937595730177
Kif23	15	3.03933125823638e-34	9.9019747006351e-32	-5.88297067803275	-3.36519659627416	-0.959645144695469	-6.65208866212442
Hspe1	15	2.40185309661271e-19	1.69505258744036e-17	-1.82240102572029	-1.88485037052358	-2.08434966261184	0.40147833694144
Cenpe	16	1.52902537903466e-25	2.06618241986256e-23	-5.33469190024431	-2.72236516232859	-0.258482507075034	-6.34446715034901
Uchl3	16	2.9797079273857e-22	2.86908476263215e-20	-4.37062167493658	-4.55682375782603	-4.1296499451903	-1.57344774786409
Mfsd2b	17	3.15705838972419e-44	3.57544379441951e-41	-6.45724827185293	-4.19532487752832	-5.49902869593046	-0.25703770289941
Cenpk	17	1.46788324071078e-37	6.98213342276492e-35	-4.15422140986101	-6.54173248121519	-3.50172039937329	-5.05240323944237
ENSMUSG00000070713	17	2.42407378025927e-23	2.56229985404027e-21	-2.77082024561989	-2.54457739187386	-2.22715187614545	-2.92302398895829
Rpl8	17	3.96615806791102e-19	2.71836130631493e-17	-0.598305312639507	-0.641395418192636	-0.759334568755339	0.259264944254633
Rfc4	18	3.67591353308287e-36	1.61896762143167e-33	-5.35667505835973	-6.43405081350493	-3.50707046392013	-2.93395226528913
Lockd	18	1.72292715351853e-30	3.7251251356483e-28	-4.58593882326821	-3.60358580256398	-2.22981875453214	-5.20648627950847
ENSMUSG00000101431	18	3.80288347071833e-24	4.36927427942482e-22	-4.01253034028016	-4.02840813088696	-3.63069947562261	-2.74138783239211
Hmmr	19	8.5544981152581e-43	7.82506264135325e-40	-6.40480248408911	-3.60066844589219	-1.0773531684276	-5.89651035240639
Ran	19	1.89745991223083e-36	8.67832482549729e-34	-2.19346630923204	-2.01722419207144	-1.81129710520635	-1.56638649850337
Prim1	19	9.97975415739818e-36	4.23836594866787e-33	-4.58187195214574	-6.93103354665655	-4.37449882418625	-3.60275065317839
Incenp	19	1.5973743599698e-24	1.90906303533476e-22	-4.9310016871986	-4.5773729453804	-0.657905158965066	-5.89833772839424
Dut	20	1.90925288343139e-35	7.82892436666355e-33	-5.17722990155246	-6.17087995913466	-4.67490947676915	-2.54629807798454
Mcm3	20	2.72175316764945e-34	8.99047994252872e-32	-4.81172014254351	-6.20680851176957	-5.5329181087355	-3.51923025920665
Kif20a	20	1.83718186153079e-23	1.96818451408949e-21	-5.20071730711633	-2.61067696300489	-0.564885909954682	-5.9134144336577
Mis18bp1	21	7.04948585479781e-42	5.98778293159488e-39	-6.24207662634915	-4.80504997369223	-1.62140814000475	-5.63695428675059
Mcm4	21	2.85074143396286e-35	1.1114620249826e-32	-4.09464775801698	-6.31283976405933	-4.70318065609046	-2.1916035046394
P2rx7	21	1.21231208995562e-29	2.40270153628455e-27	5.43814290549912	4.87519574500023	4.897706957143	0.350109232362369
Smc4	21	1.28798471269155e-26	1.96359874499636e-24	-4.92450111122475	-4.73848512999446	-1.95715105398184	-4.65377127305072
Tuba1b	22	1.09807312498481e-41	9.00533556259095e-39	-3.52546476120685	-3.07920938413844	-1.38842944031383	-3.59102334878184
Pmf1	22	3.68872762218537e-38	1.86657466039222e-35	-5.88720381477879	-6.24510943361213	-4.10437393896612	-5.75529602830966
Nop10	22	8.34319821221568e-22	7.7208670459582e-20	-3.25333426963023	-3.14395318805345	-2.98109647527766	-1.04001271991166
Cks2	23	2.10871714150529e-41	1.67172065921401e-38	-5.41477098266726	-4.00296678229826	-2.46738833160884	-4.95283910238115
Cenpa	23	1.41778316432506e-35	5.91563806967423e-33	-6.58107068973541	-3.98012770706505	-3.36226084812429	-6.32300912845122
Mif	23	3.67637552413267e-20	2.88565145513028e-18	-2.50669993501401	-2.50885369112299	-2.56935676932469	-0.474228599611645
ENSMUSG00000084353	24	2.46114628550107e-41	1.88817555187329e-38	-4.34964445150616	-3.32827400307421	-1.52863913791595	-3.84478098751871
Rnaseh2b	24	2.36415790578756e-33	7.11731233839818e-31	-5.2419710294521	-6.20211155226254	-4.34152583741041	-3.64558138205803
Rpl14	24	3.72218668638544e-18	2.22424035081169e-16	-0.795442700526905	-0.71370839388417	-0.866382533050297	0.0848475277163052
Racgap1	25	4.00716313377433e-41	2.88795032759255e-38	-6.15220485344806	-5.33860169978458	-1.27172535765148	-6.43562045659511
Aunip	25	4.52420061434675e-33	1.29637425555432e-30	-4.37285500684071	-6.17548355369974	-1.24380540403639	-1.49595330196246
Ckap5	25	1.04492025285126e-20	8.56942702536606e-19	-4.33999137798861	-2.99587866315036	-1.26671787527999	-5.01851313220385
Ruvbl2	25	4.53705601928597e-20	3.50340270476228e-18	-4.03447904237769	-4.22736105766792	-3.83389720384665	-2.73938905131501
H2afx	26	1.90017932862528e-40	1.25533236035264e-37	-6.45833743885544	-4.7968103463482	-1.69402045198661	-5.55774766633273
Pold1	26	5.1747658566241e-33	1.46513638533442e-30	-5.57528660926998	-6.57269765184694	-3.43916384890169	-3.29919473675547
Uchl4	26	5.72347443164129e-24	6.42082039659079e-22	-3.78862688280452	-3.91275956354333	-3.3474456789568	-1.41457471238752
Hmgn2	26	4.43657501882914e-21	3.86502064735581e-19	-2.65009498907654	-2.50616633804516	-2.07204463952593	-2.67446771549975
ENSMUSG00000082809	27	1.45392236424504e-34	4.93980508411997e-32	-3.1089813119733	-2.57542864624237	-1.05182158241003	-3.32920728171409
Tipin	27	1.65674050538214e-32	4.32991861972566e-30	-4.94509851430912	-6.30417092108553	-4.53439459739746	-4.65550358219388
Slc1a5	27	2.27841556088317e-23	2.41908737877163e-21	-4.85148742834035	-4.16267572367968	-4.20882556308313	-0.304467153756394
Rrm1	28	2.34867128462816e-32	6.07157056112082e-30	-5.02009027666617	-6.36432594416806	-3.34612184100292	-5.65024356206857
Fmc1	28	5.71339060223775e-25	7.26639404775512e-23	-4.1164373111338	-4.05385954636283	-3.69063600087996	-3.09199871456564
ENSMUSG00000080921	28	4.79241840807552e-17	2.57286878102167e-15	-0.824637855977635	-0.782684699648397	-0.954016082785644	0.33461771683679
Eif5a	29	2.9943116514515e-35	1.14860829042695e-32	-1.69594877557621	-1.66818803194664	-1.69040316970236	-0.243357566301751
Usp1	29	7.52783958900818e-28	1.35632279504077e-25	-4.50466145927694	-5.41484874277347	-2.59495996598752	-4.13981102449225
Arhgap11a	30	9.3505484677581e-39	5.42400229777298e-36	-5.33493505750218	-4.36066049651857	-0.957351342970724	-5.31215385538821
H2afz	30	1.24648226834855e-26	1.91258630891184e-24	-1.98808714924273	-1.8891610520578	-1.17045864077008	-2.42187956198153
Rpl38	30	2.26575130319894e-18	1.39601977316011e-16	-1.0190561464272	-0.929832731056722	-1.19997786182243	0.149416525516582
Kif22	31	1.29582415746784e-38	7.33775855644233e-36	-6.13773630471352	-4.54238452556469	-0.463684672857395	-6.38076944684749
Pkmyt1	31	5.1072120747509e-32	1.26525859139375e-29	-4.50693998013833	-6.28020176922562	-2.13884425311191	-5.81987964829525
ENSMUSG00000083899	31	9.19549690873116e-28	1.63206345507727e-25	-1.70329958343683	-1.80379840798996	-1.76016015606451	-0.753868347683642
Nup205	31	1.50725111259992e-14	5.80047786585175e-13	-3.95420595791458	-3.98491741670785	-2.01827229189946	-4.24032847185265
Pola1	32	8.76109774042478e-32	2.1480947171188e-29	-4.45917134051278	-6.28168903253295	-3.66042815671502	-3.09170203526836
Ppil1	32	9.03512614603398e-23	9.06676814899265e-21	-4.72178352110145	-5.6390851122059	-4.97322475082632	-3.89054944086753
ENSMUSG00000084301	33	2.91239602658841e-38	1.5810851249461e-35	-4.31864236064183	-1.7096930390432	-1.01467176520961	-3.96155786520722
Lyar	33	3.48209063532692e-32	8.81005974255101e-30	-5.54642501016	-5.87553183411158	-4.57939215318079	-3.50813958314428
ENSMUSG00000043618	33	4.28718524903935e-32	1.07328554503056e-29	-1.70528816883891	-1.67620601859777	-1.65863272071049	-0.238519891213164
Pttg1	33	9.76087633504446e-23	9.75390428051943e-21	-4.48262684428515	-2.49339246510488	-2.34296430274758	-4.78791069828122
Cip2a	34	2.95225749709618e-38	1.5810851249461e-35	-5.84632567355521	-4.55735657505261	-2.27388573463184	-6.13390380887702
Haus4	34	1.95683967039064e-31	4.65395178809009e-29	-5.13711127501741	-6.28091944131668	-4.03269146846796	-4.43844267528903
Bub1	34	1.70409543859195e-25	2.27688212449621e-23	-5.37022313377516	-4.34102803052804	-0.549148009054979	-6.22736408902212
Nop56	34	4.66626691268532e-19	3.12613594322238e-17	-4.00829359228447	-3.57934925250039	-3.76748164349738	-1.24586097738436
Psat1	35	2.99158351017846e-38	1.5810851249461e-35	-6.38513568787369	-5.77009790339785	-3.33548626230851	-4.67767015314011
Dnajc9	35	2.19955409008398e-31	5.17940543806607e-29	-4.41227953765384	-5.86857828226381	-4.40321355220785	-4.31253358067041
ENSMUSG00000083669	35	2.99381326003123e-20	2.37339535877743e-18	-2.56423352397899	-2.5756703154064	-2.68108142036952	-0.217025500711201
Lmnb1	35	2.50727642127933e-15	1.08026367984214e-13	-4.62296064916871	-3.87653937988764	-2.01016304155449	-5.78538833948112
Tubb4b	36	1.23361311631929e-23	1.35202860577981e-21	-2.90974057708256	-1.55163181939648	-0.0268004694461533	-3.20037976269012
Pa2g4	36	4.70196881887455e-20	3.61899431777648e-18	-3.58758556334102	-3.45671251669703	-3.26886096101798	-1.50168667775643
Cdt1	37	8.0509909216541e-30	1.6365531375188e-27	-4.7804447452168	-6.48821810483095	-4.45698642755145	-2.9274984082182
ENSMUSG00000095159	37	1.19913148811664e-25	1.64849388334555e-23	-2.93722475219588	-1.43874448416048	-0.215961132633294	-3.29136919732287
Actb	37	1.68784937728076e-24	2.00710608699342e-22	0.937432764478257	0.963176295624491	1.09732830466047	0.0497895185718829
Cenpf	38	1.28204320359433e-37	6.22261908389467e-35	-6.14973845514466	-4.37196515817974	-2.54634615557291	-5.7676804327528
Cd200r3	38	1.50764623425745e-31	3.62185357468128e-29	7.11147650171169	6.17544435838496	6.9925903108362	0.0916892021789311
Uhrf1	38	1.04970928565619e-29	2.0979189866186e-27	-5.23676015383105	-6.78803603488109	-4.66501305809783	-3.3309203170344
Prps1	39	1.51913857171527e-36	7.0842495394322e-34	-5.69242551274776	-5.54509866336379	-4.13045293380991	-0.159984191570955
Cdk1	39	1.02459964332588e-33	3.24907377562924e-31	-5.76191790646871	-5.39615249522284	-2.14771416074286	-5.55057371522196
Rpl14-ps1	39	2.04717152052561e-18	1.27455183959845e-16	-0.779209920608055	-0.676357852749636	-0.842264213748093	0.231005654044374
Rad51ap1	40	4.63136468458849e-29	8.95510132468035e-27	-4.35743677269583	-6.9467128276115	-1.990599009394	-5.08487858409738
Kif20b	40	3.20888794692822e-22	3.07729766297555e-20	-4.43642726633149	-3.46700331421871	0.00365797494447552	-5.3692192836263
ENSMUSG00000081865	40	5.50781678556536e-16	2.58367665899607e-14	-1.12890336464172	-1.08020243799119	-1.33123030460738	-0.0342759830215256
Kpna2	41	2.24531378356295e-36	1.00755278706562e-33	-4.52926649484708	-2.31286184263467	-0.501286517892694	-3.43372763971333
Dnmt1	41	1.02158086067019e-28	1.89814512572807e-26	-4.44689188355416	-5.49137086827815	-3.31556689175834	-2.8999977237038
Gart	41	4.7137243198512e-21	4.0766001999644e-19	-4.3252747609946	-4.47306102578792	-4.06679953847639	-0.456316527895108
Vrk1	41	5.95138518221516e-20	4.49339027900391e-18	-4.28700120735575	-4.09515068301353	-3.01415989205007	-3.78093315559296
Tmpo	42	5.74505178820756e-27	9.04864679992984e-25	-4.44943978960865	-5.03575213918149	-2.7079581970932	-4.96847775102896
Npm1	42	1.67767573519083e-21	1.51136977310771e-19	-0.985786187809511	-1.02688569202035	-1.12911073840664	0.0704824172776564
Angpt1	43	7.15364105787599e-36	3.09336445962664e-33	-5.37385101032547	-4.780457763591	-3.80206532301673	-1.08470548188809
ENSMUSG00000081999	43	1.17912748651146e-34	4.1855505987615e-32	-2.2395197819767	-2.05169010537409	-1.82239536324868	-1.65924877364212
Pira1	43	1.06869537408572e-15	4.80468470356912e-14	2.0336418127069	1.86186556250556	2.2267299408561	0.00543861904965733
ENSMUSG00000058625	44	1.48139474618264e-33	4.51692451903351e-31	-2.79406088068369	-2.23832768531019	-0.452424195647768	-2.96835237883732
Atp5b	44	3.88808568380442e-18	2.31755242651429e-16	-0.832515105742761	-0.873519091709899	-1.05172833169067	-0.20668651176828
Hat1	45	6.72391422989459e-21	5.73171513009259e-19	-3.48909092542791	-5.2236245948728	-3.69853501754491	-4.63249447491591
Psme2b	45	1.40242233322927e-16	7.05154552879315e-15	-3.13565621642378	-3.02967384700073	-3.14913197174146	-1.4696255566864
Cenpw	46	2.58245592600309e-35	1.0409923608158e-32	-5.21778604487497	-4.8214767617271	-3.27361397643257	-4.89813851965378
Igfbp7	46	1.73489970048189e-21	1.55116990889326e-19	-5.17381616260304	-5.72834791491798	-5.53555671025948	-1.15894531387274
ENSMUSG00000084133	47	2.70442262622908e-35	1.07198805532677e-32	-3.76577119368794	-1.9363623011281	-0.504975249768981	-3.3598736557977
ENSMUSG00000049124	47	4.3903698446037e-24	5.02000798145239e-22	-1.39229608752236	-1.38792000878911	-1.39853310236225	-0.979768428052136
Anp32e	47	7.44992862119025e-20	5.58932657406205e-18	-3.97418089691692	-3.56770958244714	-3.1515485876579	-3.61001608106907
ENSMUSG00000097703	48	6.7632710529739e-25	8.5106283308401e-23	-2.15829406831946	-2.11595622225057	-1.21543080106507	-2.48349908236535
Psme2	48	3.38222722816931e-16	1.6185012106147e-14	-2.73625154640043	-2.58888836373162	-2.83164397609252	-0.884457077407701
Ipo5	49	3.38304900783784e-35	1.27712785005408e-32	-5.34875067889673	-5.42560634265395	-4.11978577825742	-2.96412664868594
Kif15	49	5.15330896587839e-31	1.16724902033797e-28	-5.64392932950168	-5.4779605007789	-2.89664074213725	-6.20150182767814
Rps5	49	1.15323842872198e-17	6.64103378941764e-16	-0.687148222130203	-0.583527687230851	-0.751244883471054	0.228576491162292
Bora	50	4.48166576417208e-35	1.66542901358289e-32	-5.43773420165691	-4.37990705295692	-1.67973683823908	-3.84443288572996
Snrpb	50	5.29303958477885e-22	4.95607718286596e-20	-1.80539071938921	-1.79080243185	-1.65477102081973	-1.12811305673686
ENSMUSG00000066878	51	4.91077214178075e-35	1.79681375150726e-32	-4.53210674448188	-2.16415276479717	-0.13508418183822	-3.57435969664468
Ccnb1-ps	51	1.4511206573027e-33	4.48207825878311e-31	-4.37421739518945	-2.35299212951985	-0.63849050139805	-4.0946464747561
ENSMUSG00000062933	51	2.0553049957288e-30	4.40372240661424e-28	-1.41200958254813	-1.38252404368513	-1.28411404626749	-0.995789881920849
ENSMUSG00000081603	51	1.30058021807314e-19	9.51744594659492e-18	-0.973828363926741	-1.02687840587457	-1.15279932385389	0.0639865855519929
ENSMUSG00000074026	53	1.83053020176594e-27	3.20113969033818e-25	-2.67569181310851	-5.12118236832816	-1.79397655704503	-2.64448675079378
Pira11	53	7.28380212722497e-15	2.93611298291172e-13	1.71065083255113	1.60232235516286	1.90562390687536	-0.362371740192857
Rad51	54	2.24001701221712e-27	3.80530890011141e-25	-4.01562829253754	-6.84788544946997	-2.2911410308638	-4.42710925534285
Lsm3	54	7.05578430794973e-17	3.72079197773765e-15	-3.13886059100041	-3.04059173663802	-2.33903016686659	-2.97369539046999
Csf3r	54	7.54793733821298e-15	3.03230732626214e-13	3.50372144933553	3.45287699552964	3.78239809055287	0.803991463304033
Slc7a1	55	1.27498680531015e-34	4.45926635157223e-32	-5.8456610869512	-5.10081541977847	-2.95726472844985	-2.76292781718647
Dctpp1	55	2.2599127529123e-27	3.81187978741228e-25	-4.39484917535139	-5.15026364588788	-3.52023207081362	-1.96929093928516
Nucks1	55	1.18204810834005e-19	8.73063669585448e-18	-3.12578260978938	-2.50860153682855	-1.49662941012809	-2.66765478097274
ENSMUSG00000080917	55	1.06720660736853e-14	4.20918320780196e-13	1.6267923437854	1.50821784939502	1.77452626007349	0.698843692232761
A730008H23Rik	56	1.42534805043429e-34	4.91290618601137e-32	-5.64951091597066	-5.27249676020511	-2.26327869221933	-4.24315286593001
Tuba8	56	2.43407854866086e-33	7.23621126535019e-31	-6.16470574141677	-5.51623086237347	-4.26023960919958	1.35783447084785
Hmgb1	56	2.49589785153307e-20	1.9986511314145e-18	-1.48686830453328	-1.40002527129458	-0.886384954023415	-1.36228415658716
Clspn	57	3.73157295075606e-27	6.07863010190624e-25	-3.31671205037875	-6.09594243064364	-1.61803070816577	-2.33149251441541
Aldh18a1	57	8.79880111901351e-17	4.59916235194503e-15	-4.39346131959959	-3.45349562145556	-2.63843946693589	-4.31776665407309
Hsp90ab1	57	1.36349171400241e-14	5.25574123729651e-13	-0.604836726383478	-0.673156304955062	-0.793092234603844	0.219921976712594
ENSMUSG00000067608	58	5.26364519988698e-27	8.40169622744373e-25	-2.25593260429177	-4.44250283956262	-2.59854835651436	-1.31604573765021
Knstrn	59	5.45230554847913e-31	1.22332247980641e-28	-5.5481881265871	-3.17468890913778	-2.21742967684136	-5.25841156621199
ENSMUSG00000105124	59	5.62124674879319e-24	6.33602423822506e-22	-3.13995394926559	-2.94618975818819	-2.86651378078644	-0.782053836216078
Pcna	60	6.76238618544391e-27	1.05809099110798e-24	-2.33735838183471	-4.51257456687939	-2.762912654775	-1.44889717902248
ENSMUSG00000080775	60	2.31998350818066e-14	8.6347680399156e-13	-0.627149935989717	-0.703633656784328	-0.939895457328406	0.1888271353216
Sept11	60	8.45747139010931e-12	2.11779345692655e-10	-2.87694811662238	-2.66190256752778	-1.86753817368977	-3.46931033486257
Reep4	61	1.17535548391893e-33	3.67808940447948e-31	-6.04382818727104	-2.40776579505432	-2.04023619351098	-3.02365345378895
ENSMUSG00000056904	61	2.52577691759575e-32	6.45919918614834e-30	-2.58773330580721	-2.18072972957992	-0.762149525422634	-2.92047081300464
Tspan4	61	2.42819321913744e-18	1.48839482811201e-16	-4.11790439653358	-3.76894528567173	-3.92114576262412	-0.458386017621065
Mthfd1l	62	2.03797118384486e-26	3.06766257375838e-24	-3.95466956031647	-5.07242254545977	-1.93649509346505	-0.978978790905783
Myh14	62	2.58997950154093e-14	9.57970178618165e-13	1.79428160902294	1.54302649183614	2.00572540311373	0.212981381145869
Mis18a	63	6.84605292804749e-25	8.56945667303966e-23	-4.98050374721425	-4.61515055174101	-1.93352922044857	-4.7027368067237
Rpl28	63	3.78331347090623e-14	1.3758187198557e-12	-1.48988714254924	-1.55472257977784	-1.75024004541718	-0.790360142635078
Chaf1b	64	4.37421299709911e-26	6.42172269814864e-24	-2.15328257181344	-5.64984763054044	-2.64389619720964	-1.08747610718715
F630028O10Rik	64	3.94724604584044e-19	2.71321828636482e-17	4.61052622840481	4.68588096136962	4.61410377162213	0.751106512778831
Sae1	64	1.2709076556063e-12	3.7072529673238e-11	-2.94076618588761	-2.79782685030068	-1.91404826073484	-3.03749024907428
Hbb-bt	65	3.4729479853229e-33	1.01971755475227e-30	-7.16422145458488	-6.17493879126896	-5.89822820969135	0.271568820014065
Fbxo5	65	4.66514522104439e-26	6.76531395073774e-24	-4.65861475494681	-6.37517476479504	-0.711139693986046	-4.04403236855293
Muc13	65	3.05237323972954e-21	2.69868374574303e-19	-4.86877755051278	-3.62389073615106	-4.276087100245	-2.91194575713315
Cdca2	66	3.53753858921044e-33	1.02601561301454e-30	-5.98060063556971	-5.01319023176585	-0.83461491123087	-4.50855818123552
Gpx4	66	4.08053578417774e-23	4.20118539199563e-21	1.22961316766363	1.11039199963359	0.926768465572684	0.637456533541168
Foxs1	66	1.14017035529386e-11	2.81001777823356e-10	-2.1989623856847	-1.25265869348199	-2.84828803877618	2.97562668318551
Cdkn3	67	7.8759035415327e-33	2.20367781092084e-30	-5.29081974656647	-1.1044558254608	-1.83842723727998	-5.06860291083332
Mcm7	67	7.56545144074853e-26	1.06466941784214e-23	-3.58833182316367	-4.83094852908149	-3.48938899085331	-2.71878228928442
Aspm	67	1.4365251289067e-24	1.72549884549435e-22	-5.69430767893594	-2.23685913520038	-1.03111277725229	-6.271573078477
Ckap2	68	8.37922127825644e-33	2.30821242006279e-30	-5.9133038023951	-3.52896927667212	-1.67269177026144	-6.43879814245549
Pira2	68	3.15207352478634e-14	1.15509652758079e-12	2.10684716933934	2.27005741523616	2.23152647543417	-0.387381042989638
Rnaseh2c	68	1.72103590206243e-11	4.13781432433503e-10	-2.40327796812617	-2.31559830369115	-1.70768267679211	-2.59801887844452
Ccnb1	69	8.44361436931685e-33	2.30821242006279e-30	-5.86144974025812	-3.76029050753198	-0.971109343556134	-5.14028065612936
Idh3a	69	2.70399601179615e-20	2.15802473652846e-18	-4.09124268587267	-4.45505131210198	-3.98303500171614	-0.9282362039842
Eri1	69	1.51447098116351e-11	3.66415700356173e-10	-3.19564985031889	-3.19486685376122	-1.87239927338047	-4.31802515707016
