	Top	p.value	FDR	logFC.2	logFC.3	logFC.4	logFC.5
Coil	7822	0.194757603624777	0.419519978897571	-1.03596240189319	-0.0716858140600588	-0.322229687933635	-0.9066256271712
4930522L14Rik	7822	0.67334544999575	0.892256382364556	-0.0187452472374397	-0.399052293520644	-0.267804378096978	-0.835187461671606
Hdac4	7824	0.194944226989694	0.41984592506528	-1.01650417631635	0.244637978995334	0.577436398101155	-0.160040751515428
D930048N14Rik	7824	0.339965584658	0.628476063469355	0.233027158281107	0.299383865700717	0.109373554279753	0.160875748323396
F2rl2	7825	0.438384198595888	0.741494025828004	0.459859297800653	1.02981497354619	0.213394638751651	-0.308182540674068
Med14	7826	0.195193401477648	0.420230349175604	-0.97628387750588	-0.703128743040258	-0.185312285287199	-0.988713316244688
S100a7a	7826	0.222727336108725	0.462874009514032	0.142688449369146	0.147485605098502	0.139146529528901	0.056304297539404
Tbc1d10a	7827	0.421444461788619	0.724933322757179	-0.387824304950658	-0.990152375683866	-0.72400256024828	-0.73112586281021
ENSMUSG00000092222	7827	0.663305159861388	0.887606140759357	0.035662445061101	0.0595689840839024	0.133858812372248	-0.0604677215974525
ENSMUSG00000082726	7828	0.359178730038996	0.650458036529334	0	-0.110551064589682	-0.0867744701131082	-0.174935027709537
Scp2	7830	0.195753840682296	0.421072032781786	0.483544371405954	0.00730142251688091	0.392541719896182	0.426256901453191
Slamf6	7830	0.383421382850073	0.681736748528953	0.108717009959309	0.108360943254468	0.142505036202426	0.151801256978476
ENSMUSG00000104775	7831	0.195761403795493	0.421072032781786	-0.18109086878048	-0.02456732350071	0.0859393274408305	-0.0228995412245909
Dcxr	7832	0.276801018138056	0.541734579853307	0.585771025507622	1.15004959213708	1.02672052829067	1.01282341511551
ENSMUSG00000075587	7835	0.196165391756793	0.421826538169241	-0.310066519895788	-0.0252490929110611	-0.173139005078349	-0.245440895092183
Wisp3	7835	0.440117346847845	0.743839600631203	0	-0.217327994658358	0	0
Gm21885	7836	0.196375442503325	0.422049263424595	-0.252135647955508	0	-0.0454680334722101	0
Skiv2l	7836	0.268933985644523	0.529562591536984	-0.972054856981169	-0.895824710012199	-0.126052426005308	-1.07668677027481
Tomm6os	7836	0.546869645630654	0.81744405072214	-0.212771057416779	0.00318892777952057	0.124177564846336	-0.234094800413777
Rbm4	7837	0.196603257935667	0.422433065009813	-0.61885127490665	-0.593555394636358	-0.305609438963252	-0.111399138530559
Slc11a1	7838	0.222727338718728	0.462874009514032	0.119114733913916	0.118727596244756	0.119400572162383	0.0456858056963476
ENSMUSG00000083768	7838	0.833863294918976	1	-0.0073578342668929	-0.021826299682578	0.0116440503218193	-0.177615701282951
ENSMUSG00000089829	7839	0.220433767712231	0.459794448123136	0.167990107444344	0.159297408117171	0.128940219629525	-0.11508769036354
ENSMUSG00000104677	7840	0.222727339964836	0.462874009514032	0.129127353136411	0.13466741757735	0.125036915955163	-0.178241953473636
Vav3	7841	0.197037783289272	0.423210070568441	1.05869742565227	0.333585461816373	0.8509616090346	-0.133024646229859
Recql5	7841	0.671544272138461	0.892256382364556	0.278044734543204	0.333230427748589	-0.290315069334933	0.578664408351608
ENSMUSG00000098115	7845	0.441612040866276	0.74567690223093	0.0161634902143073	0.0708085108004815	-0.0334325315275064	-0.338338538632708
ENSMUSG00000104399	7845	0.663305174036429	0.887606140759357	0.0078377124319846	0.00829423739887369	0.112783376343737	0.0315831070606408
Chml	7846	0.616550997030275	0.852574705643993	-0.250639833030765	-0.334694439564696	-0.325740981747747	0.276746481063873
ENSMUSG00000098046	7847	0.897812857522761	1	-0.0124895279270109	-0.103614859803435	-0.0244123832356426	-0.260172982536324
Armc2	7848	0.197835536240184	0.424573412597031	-0.460490499066373	-0.104541613595393	-0.0905762033771231	-0.742850672834642
ENSMUSG00000084339	7849	0.364502058679742	0.657087278221807	-0.130499306987339	-0.00620998086235684	0.00311477439752338	-0.244604955895819
Oscp1	7849	0.334091012043757	0.621923898597295	0.0565384575939397	0.116040366813666	0.124806941200348	-0.689938122028197
ENSMUSG00000058922	7850	0.198074291558911	0.424970760139429	-0.324930250492568	-0.0179236450059129	-0.142810827017526	-0.169253440102218
ENSMUSG00000101413	7850	0.271665695522876	0.533572155968335	-0.142957981321695	0.0565881808085251	0.0462914378711766	-0.0157274990791709
ENSMUSG00000099708	7850	0.446311160683981	0.751424206041846	0.231952565404289	0.312144696305013	0.00786926645086975	0.273607818353607
Ube2l3	7851	0.198261987717247	0.425258374267613	-0.56272345473217	-0.360864425690827	-0.435046244303175	0.313628511731565
Ptgs2os2	7852	0.50727778921756	0.81744405072214	0.00206980711279617	-0.31393172769895	0.112649499799861	-0.234688625273181
ENSMUSG00000106227	7853	0.222727342682711	0.462874009514032	0.105301656404371	0.104540511561028	0.105863638164821	-0.118238925103894
ENSMUSG00000102850	7854	0.337068457050454	0.625946846936705	-0.181337073275591	-0.389017664483726	-0.168525626600163	-0.0862461761750951
Pnp2	7854	0.792857541037888	0.969711070678093	-0.163540475979448	-0.151502834463663	-0.038272513311892	-0.456939155911887
Ubap1	7855	0.443763631935956	0.748194417859978	0.129939151120697	-0.895781606153408	0.493487759364055	0.291114095863174
ENSMUSG00000097564	7856	0.199079968935345	0.426705019934147	-0.118148284085719	0	0	0
Dynlt3	7857	0.199474820408757	0.427397266106439	-0.950692679826377	0.89944008019601	0.00843925838859295	-0.498544324696093
ENSMUSG00000075514	7858	0.199498024418949	0.427408478043047	-0.683490813658253	-0.12927118125466	0.0828278666573354	-0.21713396681952
Mamdc4	7858	0.396538506282949	0.697756384649849	-0.289080556373628	-0.149302390561863	0.10610297342983	0.0161353678994151
ENSMUSG00000103584	7859	0.543443186404081	0.81744405072214	0.0125591926419628	0.0145215598817806	0.0111103033724267	-0.170810859639969
ENSMUSG00000085955	7861	0.663305186872358	0.887606140759357	0.0585061439147118	-0.00853749702544726	0.112872100685814	0.0170330675545
ENSMUSG00000105374	7862	0.663305187570302	0.887606140759357	0.027274468609568	-0.0598780449939483	0.11062713446052	-0.0750533742719995
ENSMUSG00000097889	7862	0.249029818842156	0.499508828668551	-0.358600774405482	0.0944820766673425	-0.516675149350829	0.162588483383069
Lats1	7865	0.201527783600988	0.430670794984482	-0.921027777975985	-0.522474842162248	0.0961205442115963	-0.329500153701803
Vps29	7865	0.446128397908716	0.751222860907887	-0.102271027634522	-0.377681314494571	0.0730053018015122	0.0146057562785106
Rom1	7865	0.331652597383932	0.619420552743279	0.070316277478607	-0.64091146273349	0.0995261051789332	0.0157992314894977
Dok4	7866	0.201596752491828	0.430779475697497	0.7341773378087	0.0980705140617545	0.279334282120717	-0.332213861227507
Lrrd1	7866	0.22272734635454	0.462874009514032	0.0957779284728528	0.0953585048146422	0.0960876046768987	-0.150867208830073
Cxxc5	7866	0.640866466408796	0.871072217616509	-0.0531591692824018	0.185264184473597	-0.399754226973411	-0.439450833691533
R3hdm2	7869	0.202149324366096	0.431730424887168	-0.963819538432698	-0.160577312257971	0.371601283407283	-0.875892626248622
Sec13	7869	0.425407653688536	0.729029415454276	-0.0984201135432782	0.683554807266633	0.974656213816779	-0.112583953326687
Rfx7	7869	0.755764413022924	0.944924037163505	-0.231570696214522	0.322228112917195	-0.060074338513787	-0.527790749883324
ENSMUSG00000103123	7870	0.222727349568299	0.462874009514032	0.101422894508606	0.105836817356415	0.0981639298658091	-0.184913345770845
Plekha3	7871	0.470226698879373	0.779059671156261	0.0118607626694665	0.293354180126447	0.737736338100427	-1.09540350984483
Mrpl1	7872	0.452044792028868	0.757632858591522	-0.309131702448425	-0.946633199800746	0.136315624561824	-1.13373998704354
ENSMUSG00000106904	7872	0.222727349566885	0.462874009514032	0.0982514083777524	0.101939510345202	0.0955283444898286	0.0117467644476352
Tbc1d16	7873	0.203285804313851	0.433648424432355	-0.929294166650177	-0.42995942379297	-0.586358744384723	-0.979024163668851
ENSMUSG00000064208	7873	0.412421491782093	0.713828898650626	-0.190676783174356	-0.377848275476094	0.109904610185488	-0.108403974426915
ENSMUSG00000107971	7873	0.631344832186216	0.866566642427065	0.0457352625601848	-0.0109998576424871	-0.00242200331558938	0.154870092013472
ENSMUSG00000097279	7874	0.203397086314389	0.433807990656903	-0.279239609079111	0	-0.122139562053838	0
Rnf6	7874	0.447662097364479	0.752726839785716	-0.498875587609476	1.06584236232266	0.374098990187279	-0.244146645368764
Krt222	7875	0.397901687865139	0.699689156561671	0.124250263630512	0.0748978575280418	0.138327402962216	0.147351098626472
ENSMUSG00000103360	7876	0.480617853763985	0.790657426580123	-0.0308934967456222	0.0603041795793312	0.0889574266971528	-0.434619456227994
ENSMUSG00000107465	7876	0.397978840622282	0.699773086390635	0.0842820952236616	-0.135621599292496	0.0539376046518265	0.0999519756567962
ENSMUSG00000104273	7877	0.203814930753444	0.434403295325013	-0.471259538382392	-0.375861359702924	0.0965894194008751	0.102890365608177
Zfp473	7878	0.20385885628905	0.434403295325013	-0.808583349574955	-0.118230388881395	0.120507928260367	0.0609037613522449
Morn3	7878	0.448483551070677	0.753641227662963	0.161869978058489	-0.5417572524348	0.154252492567794	0.265163251170916
5430402O13Rik	7878	0.663305210929493	0.887606140759357	-0.105593940297236	-0.047290860349319	0.103592456110382	0.0248269613288278
Tmem91	7878	0.875897513903984	1	-0.165043008637966	0.0485878774371796	-0.409946260771553	0.251650730859419
Aup1	7880	0.224370002527254	0.465397645364481	-0.447687278444264	-0.383863722874992	-0.28723656072739	0.188948939615859
ENSMUSG00000097664	7880	0.663305211832824	0.887606140759357	-0.141470796595049	-0.100737778897831	0.0871109942857882	-0.415261021769541
Sirt6	7881	0.448882485924011	0.753991960077036	-0.193661470054613	0.832266788007301	0.49998838052931	-0.628402311349954
ENSMUSG00000083769	7882	0.204469805864946	0.435159319273915	-0.25638141520711	0.0357193647201353	0.051500629231135	-0.0484334811364031
ENSMUSG00000102891	7882	0.453403620867335	0.759387205287875	0.006803239650732	-0.126418203009327	0.088276826903566	-0.33655149058443
Foxp4	7884	0.301455186130058	0.577022832332488	-0.378538381193513	-0.769011189310622	0.556511728710577	-0.182662134558489
Cpped1	7885	0.2046269870757	0.435454870581725	-1.0232097288233	0.849640510236098	-0.519657947656265	0.795640869990844
Clca3a2	7885	0.222727353421737	0.462874009514032	0.0914673489287572	0.0877868470028365	0.0941848014212216	-0.00165887453369101
Tnfaip1	7885	0.78645004366798	0.963932250492453	-0.100263470041461	-0.462415212393306	-0.361063885183151	-1.06663451679612
ENSMUSG00000081408	7886	0.204797296188977	0.435767934784635	-0.14539542705722	-0.0572477769437352	-0.18229010258962	0
ENSMUSG00000092521	7886	0.44968517419761	0.75491370776747	0.0282298314182468	0.0923538843655799	0.0739511322292591	-0.00887205478190843
