"","x"
"6211","Oas1g"
"6212","Oas1a"
"6213","Oas1d"
"6214","Rph3a"
"6215","Ptpn11"
"6216","Rpl6"
"6217","Gm15800"
"6218","Trafd1"
"6219","Naa25"
"6220","Erp29"
"6221","Tmem116"
"6222","Adam1b"
"6223","Adam1a"
"6224","Mapkapk5"
"6225","Aldh2"
"6226","Acad12"
"6227","Acad10"
"6228","Brap"
"6229","Atxn2"
"6230","Sh2b3"
"6231","Fam109a"
"6232","Cux2"
"6233","Myl2"
"6234","Ccdc63"
"6235","Ppp1cc"
"6236","Hvcn1"
"6237","Tctn1"
"6238","Pptc7"
"6239","Rad9b"
"6240","Vps29"
"6241","Fam216a"
"6242","Gpn3"
"6243","Arpc3"
"6244","Anapc7"
"6245","Atp2a2"
"6246","Ift81"
"6247","P2rx7"
"6248","P2rx4"
"6249","Camkk2"
"6250","Anapc5"
"6251","Rnf34"
"6252","Kdm2b"
"6253","Orai1"
"6254","Morn3"
"6255","Tmem120b"
"6256","Rhof"
"6257","Setd1b"
"6258","Hpd"
"6259","Psmd9"
"6260","Wdr66"
"6261","Bcl7a"
"6262","Mlxip"
"6263","Il31"
"6264","Lrrc43"
"6265","Diablo"
"6266","B3gnt4"
"6267","Vps33a"
"6268","Clip1"
"6269","Zcchc8"
"6270","Rsrc2"
"6271","Kntc1"
"6272","Hcar2"
"6273","Hcar1"
"6274","Denr"
"6275","Ccdc62"
"6276","Hip1r"
"6277","Vps37b"
"6278","Abcb9"
"6279","Ogfod2"
"6280","Arl6ip4"
"6281","Pitpnm2"
"6282","Mphosph9"
"6283","2810006K23Rik"
"6284","Cdk2ap1"
"6285","Sbno1"
"6286","Setd8"
"6287","Rilpl2"
"6288","Snrnp35"
"6289","Rilpl1"
"6290","Tmed2"
"6291","Ddx55"
"6292","Eif2b1"
"6293","Gtf2h3"
"6294","Atp6v0a2"
"6295","Dnah10"
"6296","Ccdc92"
"6297","Zfp664"
"6298","Fam101a"
"6299","Ncor2"
"6300","Scarb1"
"6301","Ubc"
"6302","Gm10382"
"6303","Dhx37"
"6304","Bri3bp"
"6305","Aacs"
"6306","Tmem132b"
"6307","Gm4868"
"6308","Tmem132c"
"6309","Slc15a4"
"6310","Glt1d1"
"6311","Tmem132d"
"6312","Fzd10"
"6313","Piwil1"
"6314","Rimbp2"
"6315","Stx2"
"6316","Ran"
"6317","Gpr133"
"6318","Sfswap"
"6319","Mmp17"
"6320","Zfp11"
"6321","Sept14"
"6322","Mrps17"
"6323","Gbas"
"6324","Psph"
"6325","Cct6a"
"6326","Sumf2"
"6327","Phkg1"
"6328","Chchd2"
"6329","Zbed5"
"6330","Nupr1l"
"6331","Vkorc1l1"
"6332","Gusb"
"6333","Asl"
"6334","Crcp"
"6335","Tpst1"
"6336","Kctd7"
"6337","Rabgef1"
"6338","Tmem248"
"6339","Sbds"
"6340","Tyw1"
"6341","Caln1"
"6342","A330070K13Rik"
"6343","Wbscr17"
"6344","Auts2"
"6345","Gatsl2"
"6346","Wbscr16"
"6347","Gtf2ird2"
"6348","Ncf1"
"6349","Gtf2i"
"6350","Gtf2ird1"
"6351","Clip2"
"6352","Syna"
"6353","Rfc2"
"6354","Lat2"
"6355","Eif4h"
"6356","Limk1"
"6357","Gm10369"
"6358","Eln"
"6359","Wbscr28"
"6360","Cldn13"
"6361","Wbscr27"
"6362","Cldn4"
"6363","Cldn3"
"6364","Abhd11"
"6365","Stx1a"
"6366","Wbscr22"
"6367","Dnajc30"
"6368","Vps37d"
"6369","Mlxipl"
"6370","Tbl2"
"6371","Bcl7b"
"6372","Baz1b"
"6373","Fzd9"
"6374","Fkbp6"
"6375","Trim50"
"6376","Nsun5"
"6377","Pom121"
"6378","Hip1"
"6379","Ccl26"
"6380","Ccl24"
"6381","Rhbdd2"
"6382","Por"
"6383","Tmem120a"
"6384","Styxl1"
"6385","Mdh2"
"6386","Srrm3"
"6387","Hspb1"
"6388","Ywhag"
"6389","Ssc4d"
"6390","Zp3"
"6391","Dtx2"
"6392","Upk3b"
"6393","Upk3bl"
"6394","Rasa4"
"6395","Polr2j"
"6396","Lrwd1"
"6397","Alkbh4"
"6398","Orai2"
"6399","Prkrip1"
"6400","Sh2b2"
"6401","Cux1"
"6402","4731417B20Rik"
"6403","Myl10"
"6404","Col26a1"
"6405","Ift22"
"6406","Fis1"
"6407","Cldn15"
"6408","Znhit1"
"6409","Plod3"
"6410","Vgf"
"6411","Ap1s1"
"6412","Serpine1"
"6413","Trim56"
"6414","Muc3"
"6415","A630081J09Rik"
"6416","Ache"
"6417","Ufsp1"
"6418","Srrt"
"6419","Trip6"
"6420","Slc12a9"
"6421","Ephb4"
"6422","Zan"
"6423","Epo"
"6424","Pop7"
"6425","Gigyf1"
"6426","Gnb2"
"6427","Actl6b"
"6428","Tfr2"
"6429","Mospd3"
"6430","Pcolce"
"6431","Fbxo24"
"6432","Lrch4"
"6433","Gm20605"
"6434","Sap25"
"6435","Irs3"
"6436","Agfg2"
"6437","Nyap1"
"6438","Tsc22d4"
"6439","Ppp1r35"
"6440","Mepce"
"6441","Zcwpw1"
"6442","Pilra"
"6443","Pilrb1"
"6444","Pilrb2"
"6445","Cyp3a13"
"6446","Gjc3"
"6447","Azgp1"
"6448","Smok3a"
"6449","Smok3b"
"6450","Smok3c"
"6451","Zkscan1"
"6452","Zscan21"
"6453","Zfp113"
"6454","Cops6"
"6455","Mcm7"
"6456","Ap4m1"
"6457","Taf6"
"6458","Cnpy4"
"6459","Mblac1"
"6460","Gm454"
"6461","Nxpe5"
"6462","Lamtor4"
"6463","BC037034"
"6464","BC037034"
"6465","Gal3st4"
"6466","Gpc2"
"6467","Stag3"
"6468","Gm10874"
"6469","Zfp157"
"6470","1700123K08Rik"
"6471","Zfp68"
"6472","A430033K04Rik"
"6473","Fam20c"
"6474","Gm5294"
"6475","Pdgfa"
"6476","Prkar1b"
"6477","Heatr2"
"6478","Sun1"
"6479","Get4"
"6480","Adap1"
"6481","Cox19"
"6482","Cyp2w1"
"6483","3110082I17Rik"
"6484","Gpr146"
"6485","C130050O18Rik"
"6486","Gper1"
"6487","Zfand2a"
"6488","Uncx"
"6489","Micall2"
"6490","Ints1"
"6491","Mafk"
"6492","Tmem184a"
"6493","Gm26938"
"6494","Psmg3"
"6495","Elfn1"
"6496","Mad1l1"
"6497","Ftsj2"
"6498","Nudt1"
"6499","Snx8"
"6500","Eif3b"
"6501","Chst12"
"6502","Grifin"
"6503","Lfng"
"6504","Ttyh3"
"6505","Iqce"
"6506","Brat1"
"6507","Amz1"
"6508","Gna12"
"6509","Card11"
"6510","Sdk1"
"6511","Foxk1"
"6512","Ap5z1"
"6513","Radil"
"6514","Papolb"
"6515","Mmd2"
"6516","Wipi2"
"6517","Slc29a4"
"6518","Tnrc18"
"6519","Fbxl18"
"6520","Actb"
"6521","Fscn1"
"6522","Rnf216"
"6523","Rbak"
"6524","4933411G11Rik"
"6525","Spdyb"
"6526","Zfp12"
"6527","Zfp316"
"6528","Zfp853"
"6529","E130309D02Rik"
"6530","Zdhhc4"
"6531","Grid2ip"
"6532","Kdelr2"
"6533","Daglb"
"6534","Rac1"
"6535","Fam220a"
"6536","Cyth3"
"6537","Usp42"
"6538","Eif2ak1"
"6539","Ankrd61"
"6540","Aimp2"
"6541","Pms2"
"6542","Rsph10b"
"6543","Ccz1"
"6544","Ocm"
"6545","Lmtk2"
"6546","Bhlha15"
"6547","Tecpr1"
"6548","Bri3"
"6549","Baiap2l1"
"6550","Nptx2"
"6551","Tmem130"
"6552","Trrap"
"6553","Smurf1"
"6554","Kpna7"
"6555","Gm4871"
"6556","1700018F24Rik"
"6557","Arpc1a"
"6558","Arpc1b"
"6559","Pdap1"
"6560","Bud31"
"6561","Ptcd1"
"6562","Cpsf4"
"6563","Atp5j2"
"6564","Zkscan14"
"6565","Zkscan5"
"6566","Zfp655"
"6567","Zscan25"
"6568","Cyp3a57"
"6569","Cyp3a16"
"6570","Cyp3a41b"
"6571","Cyp3a41a"
"6572","Cyp3a44"
"6573","Cyp3a11"
"6574","Cyp3a25"
"6575","Cyp3a59"
"6576","Gm6309"
"6577","1700001J03Rik"
"6578","Rnf6"
"6579","Cdk8"
"6580","Wasf3"
"6581","Gm6408"
"6582","Gm6370"
"6583","4930449I24Rik"
"6584","Gm3402"
"6585","Gm3404"
"6586","Gm3409"
"6587","Gm3415"
"6588","Gpr12"
"6589","Usp12"
"6590","Rpl21"
"6591","Rasl11a"
"6592","Gtf3a"
"6593","Mtif3"
"6594","Lnx2"
"6595","Polr1d"
"6596","Gsx1"
"6597","Pdx1"
"6598","Cdx2"
"6599","Urad"
"6600","Flt3"
"6601","Pan3"
"6602","Flt1"
"6603","Pomp"
"6604","Slc46a3"
"6605","Mtus2"
"6606","Slc7a1"
"6607","Ubl3"
"6608","Katnal1"
"6609","8430423G03Rik"
"6610","Gm15409"
"6611","Hmgb1"
"6612","Uspl1"
"6613","Alox5ap"
"6614","Medag"
"6615","Tex26"
"6616","Wdr95"
"6617","Hsph1"
"6618","B3glct"
"6619","Rxfp2"
"6620","Fry"
"6621","Zar1l"
"6622","Brca2"
"6623","N4bp2l1"
"6624","N4bp2l2"
"6625","Pds5b"
"6626","Kl"
"6627","Stard13"
"6628","Vmn2r18"
"6629","Rfc3"
"6630","Samd9l"
"6631","Hepacam2"
"6632","Ccdc132"
"6633","Calcr"
"6634","Tfpi2"
"6635","Gngt1"
"6636","Gng11"
"6637","Bet1"
"6638","Col1a2"
"6639","Casd1"
"6640","Sgce"
"6641","Peg10"
"6642","Ppp1r9a"
"6643","Pon1"
"6644","Pon3"
"6645","Pon2"
"6646","Asb4"
"6647","Pdk4"
"6648","Dync1i1"
"6649","Slc25a13"
"6650","Shfm1"
"6651","Dlx6"
"6652","Dlx5"
"6653","Acn9"
"6654","Tac1"
"6655","Asns"
"6656","C1galt1"
"6657","Gm9825"
"6658","Col28a1"
"6659","Mios"
"6660","Rpa3"
"6661","Gm16039"
"6662","Glcci1"
"6663","Ica1"
"6664","Nxph1"
"6665","Ndufa4"
"6666","Phf14"
"6667","Gm6578"
"6668","Thsd7a"
"6669","Tmem106b"
"6670","Vwde"
"6671","1700016P04Rik"
"6672","Tmem168"
"6673","B630005N14Rik"
"6674","Gpr85"
"6675","2610001J05Rik"
"6676","Ppp1r3a"
"6677","Foxp2"
"6678","Mdfic"
"6679","Tfec"
"6680","Tes"
"6681","Cav2"
"6682","Cav1"
"6683","Met"
"6684","Capza2"
"6685","St7"
"6686","Wnt2"
"6687","Asz1"
"6688","Cftr"
"6689","Cttnbp2"
"6690","Lsm8"
"6691","Ankrd7"
"6692","Kcnd2"
"6693","Tspan12"
"6694","Ing3"
"6695","Cped1"
"6696","Wnt16"
"6697","Fam3c"
"6698","Ptprz1"
"6699","Aass"
"6700","Fezf1"
"6701","Cadps2"
"6702","Rnf133"
"6703","Rnf148"
"6704","Tas2r118"
"6705","Slc13a1"
"6706","Iqub"
"6707","Ndufa5"
"6708","Asb15"
"6709","Lmod2"
"6710","Wasl"
"6711","Hyal6"
"6712","Hyal4"
"6713","Spam1"
"6714","Hyal5"
"6715","Tmem229a"
"6716","Gpr37"
"6717","Pot1a"
"6718","Grm8"
"6719","6530409C15Rik"
"6720","Zfp800"
"6721","Gcc1"
"6722","Arf5"
"6723","Fscn3"
"6724","Pax4"
"6725","Snd1"
"6726","Lrrc4"
"6727","Lep"
"6728","Rbm28"
"6729","Prrt4"
"6730","Impdh1"
"6731","Hilpda"
"6732","Fam71f2"
"6733","Fam71f1"
"6734","Calu"
"6735","Opn1sw"
"6736","Ccdc136"
"6737","Flnc"
"6738","Atp6v1f"
"6739","Gm9047"
"6740","Kcp"
"6741","Irf5"
"6742","Tnpo3"
"6743","Tspan33"
"6744","Smo"
"6745","Ahcyl2"
"6746","Strip2"
"6747","Nrf1"
"6748","Ube2h"
"6749","Zc3hc1"
"6750","Klhdc10"
"6751","Tmem209"
"6752","Ssmem1"
"6753","Cpa2"
"6754","Cpa4"
"6755","Cpa5"
"6756","Cpa1"
"6757","Cep41"
"6758","Mest"
"6759","Copg2"
"6760","Tsga13"
"6761","Klf14"
"6762","Mkln1"
"6763","Podxl"
"6764","1700012A03Rik"
"6765","Plxna4"
"6766","Chchd3"
"6767","Exoc4"
"6768","Lrguk"
"6769","Slc35b4"
"6770","Akr1b3"
"6771","Akr1b8"
"6772","Akr1b10"
"6773","Akr1b7"
"6774","Bpgm"
"6775","Cald1"
"6776","Agbl3"
"6777","Tmem140"
"6778","3110062M04Rik"
"6779","Wdr91"
"6780","Stra8"
"6781","2010107G12Rik"
"6782","Cnot4"
"6783","Nup205"
"6784","Slc13a4"
"6785","Fam180a"
"6786","Mtpn"
"6787","Chrm2"
"6788","Ptn"
"6789","Dgki"
"6790","Creb3l2"
"6791","Akr1d1"
"6792","Trim24"
"6793","Svopl"
"6794","Atp6v0a4"
"6795","Tmem213"
"6796","D630045J12Rik"
"6797","Zc3hav1l"
"6798","Zc3hav1"
"6799","Ttc26"
"6800","Ubn2"
"6801","1110001J03Rik"
"6802","Luc7l2"
"6803","Klrg2"
"6804","Clec2l"
"6805","Hipk2"
"6806","Tbxas1"
"6807","Parp12"
"6808","Kdm7a"
"6809","Slc37a3"
"6810","Rab19"
"6811","Mkrn1"
"6812","Gm10244"
"6813","Dennd2a"
"6814","Adck2"
"6815","Ndufb2"
"6816","Braf"
"6817","Mrps33"
"6818","Tmem178b"
"6819","Agk"
"6820","E330009J07Rik"
"6821","Wee2"
"6822","Ssbp1"
"6823","Tas2r137"
"6824","Tas2r108"
"6825","Prss37"
"6826","Olfr461"
"6827","Olfr460"
"6828","Clec5a"
"6829","Tas2r138"
"6830","Mgam"
"6831","Moxd2"
"6832","Prss58"
"6833","1700074P13Rik"
"6834","Gm4744"
"6835","1810009J06Rik"
"6836","Gm2663"
"6837","2210010C04Rik"
"6838","Try4"
"6839","Try5"
"6840","Try10"
"6841","Prss3"
"6842","Gm5771"
"6843","Gm10334"
"6844","Prss1"
"6845","Prss2"
"6846","Ephb6"
"6847","Trpv6"
"6848","Trpv5"
"6849","1700034O15Rik"
"6850","Kel"
"6851","Olfr459"
"6852","Pip"
"6853","Sval2"
"6854","Sval1"
"6855","Sval3"
"6856","Sva"
"6857","Tas2r139"
"6858","Tas2r144"
"6859","Gstk1"
"6860","Tmem139"
"6861","Casp2"
"6862","Clcn1"
"6863","Fam131b"
"6864","Zyx"
"6865","Epha1"
"6866","Tas2r143"
"6867","Tas2r135"
"6868","Tas2r126"
"6869","Olfr458"
"6870","Olfr457"
"6871","Olfr456"
"6872","Gm4877"
"6873","Olfr455"
"6874","Fam115e"
"6875","Fam115c"
"6876","Fam115a"
"6877","Olfr453"
"6878","Olfr38"
"6879","Olfr452"
"6880","Olfr450"
"6881","Olfr449"
"6882","Olfr448"
"6883","Olfr447"
"6884","Olfr446"
"6885","Olfr444"
"6886","Olfr443-ps1"
"6887","Olfr441"
"6888","Olfr237-ps1"
"6889","Olfr437"
"6890","Olfr13"
"6891","Olfr435"
"6892","Gm21827"
"6893","Olfr434"
"6894","Olfr47"
"6895","Arhgef5"
"6896","Nobox"
"6897","Tpk1"
"6898","Cntnap2"
"6899","Cul1"
"6900","Ezh2"
"6901","Pdia4"
"6902","Zfp786"
"6903","Zfp398"
"6904","Zfp282"
"6905","Zfp212"
"6906","Zfp956"
"6907","Zfp777"
"6908","Zfp746"
"6909","Krba1"
"6910","Zfp467"
"6911","Sspo"
"6912","Atp6v0e2"
"6913","Lrrc61"
"6914","Rarres2"
"6915","Gm5111"
"6916","Repin1"
"6917","Zfp775"
"6918","Gimap8"
"6919","Gimap9"
"6920","Gimap4"
"6921","Gimap6"
"6922","Gm28053"
"6923","Gimap7"
"6924","Gimap1"
"6925","Gimap5"
"6926","Gimap3"
"6927","Tmem176b"
"6928","Tmem176a"
"6929","Gm7932"
"6930","Aoc1"
"6931","1600015I10Rik"
"6932","Gm10242"
"6933","Doxl2"
"6934","Svs1"
"6935","Gpnmb"
"6936","Malsu1"
"6937","Igf2bp3"
"6938","Tra2a"
"6939","Ccdc126"
"6940","Fam221a"
"6941","Stk31"
"6942","Npy"
"6943","Gm21786"
"6944","Mpp6"
"6945","Dfna5"
"6946","Osbpl3"
"6947","Cycs"
"6948","4921507P07Rik"
"6949","Gm4782"
"6950","Npvf"
"6951","G930045G22Rik"
"6952","Nfe2l3"
"6953","Hnrnpa2b1"
"6954","Cbx3"
"6955","Snx10"
"6956","Skap2"
"6957","Hoxa1"
"6958","Hoxa2"
"6959","Gm28308"
"6960","Hoxa3"
"6961","5730596B20Rik"
"6962","Hoxa4"
"6963","Hoxa5"
"6964","Hoxa6"
"6965","Hoxa7"
"6966","Hoxa9"
"6967","Hoxa10"
"6968","Hoxa11"
"6969","Hoxa13"
"6970","Evx1"
"6971","Hibadh"
"6972","Tax1bp1"
"6973","Jazf1"
"6974","Creb5"
"6975","Tril"
"6976","Gm16499"
"6977","Cpvl"
"6978","Chn2"
"6979","Prr15"
"6980","Wipf3"
"6981","Scrn1"
"6982","Fkbp14"
"6983","Plekha8"
"6984","Mturn"
"6985","Znrf2"
"6986","Nod1"
"6987","Ggct"
"6988","Gars"
"6989","Crhr2"
"6990","Inmt"
"6991","Fam188b"
"6992","Aqp1"
"6993","Ghrhr"
"6994","Adcyap1r1"
"6995","Neurod6"
"6996","Ccdc129"
"6997","Ppp1r17"
"6998","Pde1c"
"6999","Lsm5"
"7000","Avl9"
"7001","Kbtbd2"
"7002","Fkbp9"
"7003","Nt5c3"
"7004","Vmn1r4"
"7005","Vmn1r5"
"7006","Vmn1r6"
"7007","Vmn1r7"
"7008","Vmn1r8"
"7009","Vmn1r9"
"7010","Vmn1r10"
"7011","Vmn1r11"
"7012","Vmn1r12"
"7013","Vmn1r13"
"7014","Vmn1r14"
"7015","Vmn1r15"
"7016","Vmn1r16"
"7017","Vmn1r17"
"7018","Vmn1r18"
"7019","Vmn1r19"
"7020","Vmn1r20"
"7021","Ppm1k"
"7022","Herc6"
"7023","Pyurf"
"7024","Lancl2"
"7025","Vopp1"
"7026","Vmn1r21"
"7027","Vmn1r22"
"7028","Vmn1r23"
"7029","Vmn1r24"
"7030","Vmn1r25"
"7031","Vmn1r26"
"7032","Vmn1r27"
"7033","Vmn1r28"
"7034","Vmn1r29"
"7035","Vmn1r30"
"7036","Vmn1r31"
"7037","Abcg2"
"7038","Herc3"
"7039","Nap1l5"
"7040","Fam13a"
"7041","Tigd2"
"7042","Gprin3"
"7043","A530053G22Rik"
"7044","Snca"
"7045","Mmrn1"
"7046","Ccser1"
"7047","Grid2"
"7048","Atoh1"
"7049","Smarcad1"
"7050","Hpgds"
"7051","C130060K24Rik"
"7052","Tnip3"
"7053","Ndnf"
"7054","Prdm5"
"7055","4930544G11Rik"
"7056","Mad2l1"
"7057","Vmn1r32"
"7058","Vmn1r33"
"7059","Vmn1r34"
"7060","Vmn1r35"
"7061","Vmn1r36"
"7062","Vmn1r37"
"7063","Vmn1r38"
"7064","Vmn1r39"
"7065","4930597O21Rik"
"7066","Gng12"
"7067","Gadd45a"
"7068","Serbp1"
"7069","Il12rb2"
"7070","Il23r"
"7071","Tacstd2"
"7072","Igkv1-115"
"7073","Igkv13-87"
"7074","Igkv4-71"
"7075","Igkv4-69"
"7076","Igkv4-62"
"7077","Gm11143"
"7078","Igkv4-54"
"7079","Rpia"
"7080","Eif2ak3"
"7081","Tex37"
"7082","Foxi3"
"7083","Thnsl2"
"7084","Fabp1"
"7085","Smyd1"
"7086","Krcc1"
"7087","Gm1070"
"7088","Cd8b1"
"7089","Cd8a"
"7090","Rmnd5a"
"7091","Rnf103"
"7092","Chmp3"
"7093","Kdm3a"
"7094","Reep1"
"7095","Mrpl35"
"7096","Immt"
"7097","Ptcd3"
"7098","Polr1a"
"7099","St3gal5"
"7100","Atoh8"
"7101","Sftpb"
"7102","Usp39"
"7103","0610030E20Rik"
"7104","Tmem150a"
"7105","Rnf181"
"7106","Vamp5"
"7107","Vamp8"
"7108","Ggcx"
"7109","Mat2a"
"7110","Sh2d6"
"7111","Capg"
"7112","Elmod3"
"7113","Retsat"
"7114","Tgoln1"
"7115","Tcf7l1"
"7116","Gm15401"
"7117","Kcmf1"
"7118","Tmsb10"
"7119","Dnah6"
"7120","Suclg1"
"7121","4931417E11Rik"
"7122","Gm9008"
"7123","Ctnna2"
"7124","Lrrtm1"
"7125","Reg3b"
"7126","Reg3d"
"7127","Reg3a"
"7128","Reg2"
"7129","Reg1"
"7130","Reg3g"
"7131","Gm20594"
"7132","Lrrtm4"
"7133","Gcfc2"
"7134","Mrpl19"
"7135","Eva1a"
"7136","Tacr1"
"7137","Pole4"
"7138","Hk2"
"7139","Sema4f"
"7140","M1ap"
"7141","Dok1"
"7142","Loxl3"
"7143","Htra2"
"7144","Aup1"
"7145","Dqx1"
"7146","Tlx2"
"7147","Pcgf1"
"7148","Lbx2"
"7149","Ccdc142"
"7150","Mrpl53"
"7151","Mogs"
"7152","Wbp1"
"7153","Ino80b"
"7154","Rtkn"
"7155","Wdr54"
"7156","1700003E16Rik"
"7157","Dctn1"
"7158","Slc4a5"
"7159","Mthfd2"
"7160","Mob1a"
"7161","Bola3"
"7162","Tet3"
"7163","Dguok"
"7164","Actg2"
"7165","Stambp"
"7166","Clec4f"
"7167","Cd207"
"7168","Vax2"
"7169","Atp6v1b1"
"7170","Ankrd53"
"7171","Tex261"
"7172","Nagk"
"7173","Paip2b"
"7174","Zfml"
"7175","Dysf"
"7176","Cyp26b1"
"7177","Exoc6b"
"7178","Gm5878"
"7179","Spr"
"7180","Emx1"
"7181","Sfxn5"
"7182","Rab11fip5"
"7183","Noto"
"7184","Smyd5"
"7185","Pradc1"
"7186","Cct7"
"7187","Fbxo41"
"7188","Egr4"
"7189","Alms1"
"7190","Gm4477"
"7191","Cml3"
"7192","Gm11128"
"7193","Cml5"
"7194","Nat8"
"7195","Cml2"
"7196","1700019G17Rik"
"7197","Cml1"
"7198","Tprkb"
"7199","Nat8b"
"7200","Dusp11"
"7201","Figla"
"7202","Add2"
"7203","Tgfa"
"7204","Fam136a"
"7205","Snrpg"
"7206","Pcyox1"
"7207","Tia1"
"7208","C87436"
"7209","Pcbp1"
"7210","Asprv1"
"7211","Mxd1"
"7212","Snrnp27"
"7213","Gmcl1"
"7214","Anxa4"
"7215","Aak1"
"7216","Nfu1"
"7217","Gfpt1"
"7218","D6Ertd527e"
"7219","Antxr1"
"7220","Gkn1"
"7221","Gkn2"
"7222","Gkn3"
"7223","Bmp10"
"7224","Arhgap25"
"7225","Prokr1"
"7226","Aplf"
"7227","Efcc1"
"7228","Gp9"
"7229","Rab43"
"7230","Isy1"
"7231","Cnbp"
"7232","Copg1"
"7233","Hmces"
"7234","H1fx"
"7235","Gm5577"
"7236","Rab7"
"7237","Rpn1"
"7238","Gata2"
"7239","Dnajb8"
"7240","Eefsec"
"7241","Ruvbl1"
"7242","Sec61a1"
"7243","Kbtbd12"
"7244","Mgll"
"7245","Abtb1"
"7246","Podxl2"
"7247","Mcm2"
"7248","Tpra1"
"7249","4933427D06Rik"
"7250","Gm839"
"7251","Plxna1"
"7252","Chchd6"
"7253","Txnrd3"
"7254","Vmn1r40"
"7255","Vmn1r41"
"7256","Vmn1r42"
"7257","Vmn1r43"
"7258","Vmn1r44"
"7259","Vmn1r45"
"7260","Vmn1r46"
"7261","Vmn1r47"
"7262","Vmn1r48"
"7263","Vmn1r49"
"7264","Vmn1r50"
"7265","Vmn1r51"
"7266","Vmn1r52"
"7267","V1ra8"
"7268","Vmn1r53"
"7269","Vmn1r54"
"7270","BC048671"
"7271","Chst13"
"7272","Uroc1"
"7273","Zxdc"
"7274","Ccdc37"
"7275","Klf15"
"7276","Aldh1l1"
"7277","Slc41a3"
"7278","Iqsec1"
"7279","Nup210"
"7280","Hdac11"
"7281","Fbln2"
"7282","Wnt7a"
"7283","Chchd4"
"7284","Tmem43"
"7285","Xpc"
"7286","Lsm3"
"7287","Slc6a6"
"7288","Grip2"
"7289","Ccdc174"
"7290","4930590J08Rik"
"7291","Fgd5"
"7292","Nr2c2"
"7293","Mrps25"
"7294","Zfyve20"
"7295","Trh"
"7296","Prickle2"
"7297","Adamts9"
"7298","A730049H05Rik"
"7299","Gm15737"
"7300","Magi1"
"7301","Slc25a26"
"7302","Lrig1"
"7303","Kbtbd8"
"7304","Gm10234"
"7305","Suclg2"
"7306","Fam19a1"
"7307","1700123L14Rik"
"7308","Fam19a4"
"7309","Eogt"
"7310","Tmf1"
"7311","Uba3"
"7312","Arl6ip5"
"7313","Lmod3"
"7314","Frmd4b"
"7315","Mitf"
"7316","Gm765"
"7317","Foxp1"
"7318","Gm20696"
"7319","Eif4e3"
"7320","Gpr27"
"7321","Prok2"
"7322","Rybp"
"7323","Shq1"
"7324","Gxylt2"
"7325","Ppp4r2"
"7326","Pdzrn3"
"7327","Gm9871"
"7328","Cntn3"
"7329","Chl1"
"7330","Cntn6"
"7331","Cntn4"
"7332","Il5ra"
"7333","Trnt1"
"7334","Crbn"
"7335","Lrrn1"
"7336","Setmar"
"7337","Sumf1"
"7338","Itpr1"
"7339","Bhlhe40"
"7340","Arl8b"
"7341","Edem1"
"7342","Grm7"
"7343","Lmcd1"
"7344","Ssu2"
"7345","Cav3"
"7346","Oxtr"
"7347","Rad18"
"7348","Srgap3"
"7349","Thumpd3"
"7350","Setd5"
"7351","Lhfpl4"
"7352","Mtmr14"
"7353","Cpne9"
"7354","Brpf1"
"7355","Ogg1"
"7356","Camk1"
"7357","Tada3"
"7358","Arpc4"
"7359","Ttll3"
"7360","Rpusd3"
"7361","Cidec"
"7362","Jagn1"
"7363","Il17re"
"7364","Il17rc"
"7365","Creld1"
"7366","Prrt3"
"7367","Emc3"
"7368","Fancd2"
"7369","Fancd2os"
"7370","Brk1"
"7371","Vhl"
"7372","Irak2"
"7373","Tatdn2"
"7374","Ghrl"
"7375","Sec13"
"7376","Atp2b2"
"7377","Slc6a11"
"7378","Slc6a1"
"7379","Hrh1"
"7380","Atg7"
"7381","Vgll4"
"7382","Tamm41"
"7383","Syn2"
"7384","Gm17482"
"7385","Timp4"
"7386","Pparg"
"7387","Tsen2"
"7388","Mkrn2os"
"7389","Mkrn2"
"7390","Raf1"
"7391","Tmem40"
"7392","Cand2"
"7393","Rpl32"
"7394","Efcab12"
"7395","Mbd4"
"7396","Ift122"
"7397","Rho"
"7398","H1foo"
"7399","Plxnd1"
"7400","Tmcc1"
"7401","Fam21"
"7402","Zfand4"
"7403","March8"
"7404","Alox5"
"7405","Olfr211"
"7406","Olfr212"
"7407","Olfr213"
"7408","Olfr214"
"7409","Olfr215"
"7410","Zfp422"
"7411","Rassf4"
"7412","8430408G22Rik"
"7413","Tmem72"
"7414","Cxcl12"
"7415","Rpl28-ps4"
"7416","Zfp637"
"7417","Zfp239"
"7418","Hnrnpf"
"7419","4933440N22Rik"
"7420","Fxyd4"
"7421","Rasgef1a"
"7422","Csgalnact2"
"7423","Ret"
"7424","Bms1"
"7425","Zfp248"
"7426","Zfp9"
"7427","Ankrd26"
"7428","Cacna1c"
"7429","Dcp1b"
"7430","Cacna2d4"
"7431","Lrtm2"
"7432","Adipor2"
"7433","Wnt5b"
"7434","Fbxl14"
"7435","Erc1"
"7436","3110021A11Rik"
"7437","Rad52"
"7438","Wnk1"
"7439","Ninj2"
"7440","B4galnt3"
"7441","D330020A13Rik"
"7442","Ccdc77"
"7443","Kdm5a"
"7444","Il17ra"
"7445","Cecr6"
"7446","Cecr5"
"7447","Cecr2"
"7448","Slc25a18"
"7449","Atp6v1e1"
"7450","Bcl2l13"
"7451","Bid"
"7452","Mical3"
"7453","Mical3"
"7454","Pex26"
"7455","Tuba8"
